Product ID,N_Extracción,Datos
12,Extracción 0,"['2023/05/30 06:54:44', '301.65']"
12,Extracción 1,"['2023/05/30 06:54:44', '301.65']"
12,Extracción 2,"['2023/05/30 22:54:43', '365.00']"
12,Extracción 3,"['2023/05/31 07:18:43', '365.00']"
12,Extracción 4,"['2023/06/01 00:06:43', '365.00']"
12,Extracción 5,"['2023/06/01 07:45:59', '429.00']"
12,Extracción 6,"['2023/06/01 16:09:59', '429.00']"
12,Extracción 7,"['2023/06/02 08:57:59', '429.00']"
12,Extracción 8,"['2023/06/02 17:21:59', '429.00']"
12,Extracción 9,"['2023/06/03 01:45:59', '429.00']"
12,Extracción 10,"['2023/06/03 17:09:59', '429.00']"
12,Extracción 11,"['2023/06/04 01:33:59', '429.00']"
12,Extracción 12,"['2023/06/04 09:57:59', '429.00']"
12,Extracción 13,"['2023/06/05 02:45:59', '429.00']"
12,Extracción 14,"['2023/06/05 11:09:59', '429.00']"
12,Extracción 15,"['2023/06/05 19:33:59', '429.00']"
12,Extracción 16,"['2023/06/06 10:57:59', '429.00']"
12,Extracción 17,"['2023/06/06 19:21:59', '429.00']"
12,Extracción 18,"['2023/06/07 03:45:59', '429.00']"
12,Extracción 19,"['2023/06/07 20:33:59', '429.00']"
12,Extracción 20,"['2023/06/07 20:33:59', '429.00']"
12,Extracción 21,"['2023/06/08 13:21:59', '429.00']"
12,Extracción 22,"['2023/06/08 21:45:59', '429.00']"
12,Extracción 23,"['2023/06/09 04:45:59', '429.00']"
12,Extracción 24,"['2023/06/09 21:33:59', '429.00']"
12,Extracción 25,"['2023/06/10 05:57:59', '429.00']"
12,Extracción 26,"['2023/06/10 14:21:59', '429.00']"
12,Extracción 27,"['2023/06/11 07:09:59', '429.00']"
12,Extracción 28,"['2023/06/11 15:33:59', '429.00']"
12,Extracción 29,"['2023/06/11 23:57:59', '429.00']"
12,Extracción 30,"['2023/06/12 15:24:12', '299.00']"
12,Extracción 31,"['2023/06/12 23:48:12', '299.00']"
12,Extracción 32,"['2023/06/13 08:12:12', '299.00']"
12,Extracción 33,"['2023/06/14 01:00:12', '299.00']"
12,Extracción 34,"['2023/06/14 09:24:12', '299.00']"
12,Extracción 35,"['2023/06/14 17:48:12', '299.00']"
12,Extracción 36,"['2023/06/15 09:12:12', '299.00']"
12,Extracción 37,"['2023/06/15 17:36:12', '299.00']"
12,Extracción 38,"['2023/06/16 02:00:12', '299.00']"
12,Extracción 39,"['2023/06/16 18:48:12', '299.00']"
12,Extracción 40,"['2023/06/16 18:48:12', '299.00']"
12,Extracción 41,"['2023/06/17 11:36:12', '299.00']"
12,Extracción 42,"['2023/06/17 20:00:12', '299.00']"
12,Extracción 43,"['2023/06/18 03:00:12', '299.00']"
12,Extracción 44,"['2023/06/18 19:48:12', '299.00']"
12,Extracción 45,"['2023/06/19 04:12:12', '299.00']"
12,Extracción 46,"['2023/06/19 12:30:12', '429.99']"
12,Extracción 47,"['2023/06/20 05:18:12', '429.99']"
12,Extracción 48,"['2023/06/20 13:14:19', '429.00']"
12,Extracción 49,"['2023/06/20 21:38:19', '429.00']"
12,Extracción 50,"['2023/06/21 14:26:19', '429.00']"
12,Extracción 51,"['2023/06/21 21:53:35', '319.00']"
12,Extracción 52,"['2023/06/22 06:17:35', '319.00']"
12,Extracción 53,"['2023/06/22 23:05:35', '319.00']"
12,Extracción 54,"['2023/06/23 07:29:35', '319.00']"
12,Extracción 55,"['2023/06/23 15:53:35', '319.00']"
12,Extracción 56,"['2023/06/24 07:17:35', '319.00']"
12,Extracción 57,"['2023/06/24 15:41:35', '319.00']"
12,Extracción 58,"['2023/06/25 00:05:35', '319.00']"
12,Extracción 59,"['2023/06/25 16:53:35', '319.00']"
12,Extracción 60,"['2023/06/25 16:53:35', '319.00']"
12,Extracción 61,"['2023/06/26 09:41:35', '319.00']"
12,Extracción 62,"['2023/06/26 18:05:35', '319.00']"
12,Extracción 63,"['2023/06/27 01:26:50', '429.00']"
12,Extracción 64,"['2023/06/27 18:14:50', '429.00']"
12,Extracción 65,"['2023/06/28 02:38:50', '429.00']"
12,Extracción 66,"['2023/06/28 11:02:50', '429.00']"
12,Extracción 67,"['2023/06/29 03:50:50', '429.00']"
12,Extracción 68,"['2023/06/29 10:50:50', '429.00']"
12,Extracción 69,"['2023/06/29 19:14:50', '429.00']"
12,Extracción 70,"['2023/06/30 12:02:50', '429.00']"
12,Extracción 71,"['2023/06/30 20:26:50', '429.00']"
12,Extracción 72,"['2023/07/01 04:50:50', '429.00']"
12,Extracción 73,"['2023/07/01 21:38:50', '429.00']"
12,Extracción 74,"['2023/07/02 04:38:50', '429.00']"
12,Extracción 75,"['2023/07/02 13:02:50', '429.00']"
12,Extracción 76,"['2023/07/03 06:02:22', '429.00']"
12,Extracción 77,"['2023/07/03 13:58:25', '329.00']"
12,Extracción 78,"['2023/07/03 22:22:25', '329.00']"
12,Extracción 79,"['2023/07/04 15:10:25', '329.00']"
12,Extracción 80,"['2023/07/04 15:10:25', '329.00']"
12,Extracción 81,"['2023/07/05 07:58:25', '329.00']"
12,Extracción 82,"['2023/07/05 14:58:25', '329.00']"
12,Extracción 83,"['2023/07/05 23:22:25', '329.00']"
12,Extracción 84,"['2023/07/06 16:10:25', '329.00']"
12,Extracción 85,"['2023/07/07 00:34:25', '329.00']"
12,Extracción 86,"['2023/07/07 08:58:25', '329.00']"
12,Extracción 87,"['2023/07/08 01:46:25', '329.00']"
12,Extracción 88,"['2023/07/08 10:10:25', '329.00']"
12,Extracción 89,"['2023/07/08 17:10:25', '329.00']"
12,Extracción 90,"['2023/07/09 09:58:25', '329.00']"
12,Extracción 91,"['2023/07/09 18:22:25', '329.00']"
12,Extracción 92,"['2023/07/10 02:46:25', '329.00']"
12,Extracción 93,"['2023/07/10 19:34:25', '329.00']"
12,Extracción 94,"['2023/07/11 03:58:25', '329.00']"
12,Extracción 95,"['2023/07/11 11:02:59', '339.00']"
12,Extracción 96,"['2023/07/12 03:50:59', '339.00']"
