,Nombre,product ID,category ID
0,"Lenovo IdeaPad Flex 5 Gen 7 - Ordenador PortA!til Convertible 14&#34; WUXGA TA!ctil (Intel Core i5-1235U, 16GB RAM, 512GB SSD, Iris Xe Graphics, WiFi 6, Windows 11 Home) Azul - Teclado QWERTY EspaA+-ol",1,2
1,"Lenovo IdeaPad 3 Gen 7 - Ordenador PortA!til 17.3&#34; FullHD (AMD Ryzen 5 5625U, 8GB RAM, 512GB SSD, AMD Radeon Graphics, Windows 11 Home) Gris - Teclado QWERTY EspaA+-ol",2,2
2,"Lenovo LOQ Gen 8 - Ordenador PortA!til Gaming 15.6&#34; FullHD (Intel Core i5-12450H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 4050 6GB, Sin Sistema Operativo) Gris - Teclado QWERTY EspaA+-ol",3,2
3,"Lenovo IdeaPad 3 Gen 6 - Ordenador PortA!til 15.6&#34; FullHD (Intel Core i3-1115G4, 8GB RAM, 256GB SSD, Intel UHD Graphics, Sin Sistema Operativo) Gris - Teclado QWERTY EspaA+-ol",4,2
4,Aspiradora con Bolsa BECKEN BVC3878 (69 dB - Bolsa de polvo 3 L),57,5
5,Lavavajillas BALAY 3VS506BP (12 Cubiertos - 60 cm - Blanco),58,4
6,FrigorAfico Combi LG GBB72NSUCN1 (No Frost - 203 cm - 384 L - Inox),69,4
7,Lavadora BALAY 3TS993BT (9 kg - 1200 rpm - Blanco),80,4
8,Lavadora HISENSE WFVB7012EM (7 kg - 1200 rpm - Blanco),91,4
9,FrigorAfico Combi LG GBP62PZNAC (No Frost - 203 cm - 384 L - Inox),100,4
10,FrigorAfico Combi BALAY Cristal 3KFD765NI (No Frost - 203 cm - 368 L - Negro),101,4
11,Horno KUNFT 6F KBIO4445 (51 L - 59.5 cm - Inox),102,4
12,TV LG NANO 65NANO763QA (Nano Cell - 65'' - 165 cm - 4K Ultra HD - Smart TV),103,1
13,FrigorAfico Combi CANDY CCT3L517FW (Frost Free - 176 cm - 260 L - Blanco,104,4
14,FrigorAfico Combi LG GBB61SWGCN (No Frost - 186 cm - 341 L - Blanco),59,4
15,Placa de VitrocerA!mica KUNFT KVH3934 (ElA(c)ctrica - 59 cm - Negro),60,4
16,Placa Flex de InducciA3n AEG ILB63445FB (ElA(c)ctrica - 59 cm - Negro),61,4
17,Lavadora LG AutodosificaciA3n F4WV3509S3W (9 kg - 1400 rpm - Blanco),62,4
18,FrigorAfico Combi BALAY 3KFE561WI (No Frost - 186 cm - 302 L - Blanco),63,4
19,Campana KUNFT 60 KCHS4852 WH (216.5 m3/h - 60 cm - Blanco),64,4
20,Lavadora HOOVER H3TM38TACE/1-37 (8 kg - 1300 rpm - Blanco),65,4
21,Campana KUNFT KCHPS2339N (429.4 m3/h - 60 cm - Inox),66,4
22,Lavadora LG F4WV3010S3W (10.5 kg - 1400 rpm - Blanco),67,4
23,TV SAMSUNG QLED 50QN92CATXX (Neo QLED - 50'' 127 cm - 4K Ultra HD - Smart TV),68,1
24,FrigorAfico Combi LG GBP62PZNBC DoorCooling (No Frost - 384 L - 203 cm - Gris),70,4
25,Lavadora BEKO WTE 7611 BWR (7 kg - 1200 rpm - Blanco),71,4
26,Lavasecadora INDESIT BDE 96435 9WB SPT (6/9 kg - 1400 rpm - Blanco),71,4
27,Lavavajillas TEKA DFS 24610 WH (9 Cubiertos - 44.8 cm - Blanco),73,4
28,FrigorAfico Combi TEKA NFL 320 (No Frost - 188 cm - 323 L - Blanco),74,4
29,FrigorAfico Combi Integrable BECKEN BBIC2341N (EstA!tico - 177 cm - 250 L - Blanco),75,4
30,Microondas LG MH6535GIB (25 L - Con grill - Negro),76,5
31,Lavavajillas Integrable BECKEN BBIDW5370 (12 Cubiertos - 59.6 cm - Panel Inox),77,4
32,Placa de VitrocerA!mica TEKA TZ 6315 (ElA(c)ctrica - 60 cm - Negro),78,4
33,FrigorAfico Combi INDESIT LI9 S2E X (EstA!tico - 201.3 cm - 372 L - Inox),79,4
34,Cocina KUNFT KGS4503 IX NAT (46 L - Gas Natural - Inox),81,4
35,Microondas KUNFT KMW-5219 (20 L - Con Grill - Blanco),82,5
36,Lavasecadora LG F4DV5509SMW (6/9 kg - 1400 rpm - Blanco),83,4
37,Microondas Integrable BALAY 3CG6142X3 (20 L - Con Grill - Inox),84,5
38,Campana CATA V-6000 X (510 m3/h - 59.5 cm - Inox),85,4
39,FrigorAfico 2 puertas TEKA RTF 13610 (EstA!tico - 176 cm - 294 L - Blanco),86,4
40,Lavavajillas LG DF325FW (14 Cubiertos - 60 cm - Blanco),87,4
