,0,product ID,category ID
0,"Móvil - Samsung Galaxy S23 Ultra 5G, Botanic Green, 512GB, 12GB RAM, 6.8 QHD+, Qualcomm Snapdragon 8, Gen 2 Octa-Core, 5000mAh, Android 13",44,3
1,"Portátil - VivoBook 15 F1500EA-EJ3587W,15.6 Full HD, Intel® Core™ i3-1115G4, 8GB RAM,256GB SSD, UHD, Windows 11 Home",45,2
2,"Lavadora carga frontal - Bosch WGG254Z1ES, 10 Kg, 1400 rpm, 14 programas, SpeedPerfect, Blanco",49,4
3,"TV LED 55 - 55NANO756QC, UHD 4K, Procesador de Gran Potencia 4K α5 Gen 5, Smart TV, DVB-T2 (H.265), Azul oscuro ceniza",50,1
4,"Freidora de aire - Moulinex Easy Fry & Grill XXL EZ801D, 6.5 L, Con Separador, Cocina 2 platos a la Vez, 1830 W, 220 °C, 16 funciones, Táctil, Inox.",51,5
5,"Depiladora IPL - Philips Lumea S7000 BRI923/00, Luz pulsada, 12 meses sin vello, 3 cabezales, cara y cuerpo, 250.000 pulsos, 5 ajustes luz",52,6
6,"Smartwatch - Samsung Watch 4 BT, 40 mm, 1.2, Exynos W920, 16 GB, 240 mAh, IP68, Gold",53,8
7,"Patinete eléctrico - Navee N65, Hasta 65 km, Doble freno, Luz delantera y trasera, Negro",54,9
8,"AirPods Pro (2023 2ª gen), Conexión USB-C, Inalámbricos, Bluetooth®, Estuche de carga inalámbrica, Chip H2, Siri, Blanco",55,11
9,"Reproductor multimedia - Chromecast con Google TV (4K), HDMI, Mando con control por voz, Nieve",56,10
10,"Consola - Sony PlayStation 5 Standard, 825 GB, 4K, 1 mando, Chasis C + Call Of Duty: Modern Warfare 3 (código de descarga)",46,7
11,"Mini Drone - MINI 3 PRO (DJI RC), 48 MP, Vídeo 4K, Hasta 35 min, Wi-fi, Bluetooth, Blanco",47,12
12,Pack de 2 Echo Show 5 (3.ª generación) Antracita - Pantalla táctil inteligente de 5.5”con Alexa,48,13
