Product ID,N_Extracción,Fecha,Precio
18,Extracción 0,'2023/07/06 06:41:36','429.00'
18,Extracción 1,'2023/07/06 06:41:36','429.00'
18,Extracción 2,'2023/07/06 19:17:36','429.00'
18,Extracción 3,'2023/07/07 02:17:36','429.00'
18,Extracción 4,'2023/07/07 14:53:36','429.00'
18,Extracción 5,'2023/07/07 21:53:36','429.00'
18,Extracción 6,'2023/07/08 03:29:36','429.00'
18,Extracción 7,'2023/07/08 16:05:36','429.00'
18,Extracción 8,'2023/07/08 23:05:36','429.00'
18,Extracción 9,'2023/07/09 06:05:36','429.00'
18,Extracción 10,'2023/07/09 18:41:36','429.00'
18,Extracción 11,'2023/07/10 00:17:36','429.00'
18,Extracción 12,'2023/07/10 07:17:36','429.00'
18,Extracción 13,'2023/07/10 19:53:36','429.00'
18,Extracción 14,'2023/07/11 02:53:36','429.00'
18,Extracción 15,'2023/07/11 08:29:36','429.00'
18,Extracción 16,'2023/07/11 21:53:33','429.00'
18,Extracción 17,'2023/07/12 04:53:33','429.00'
18,Extracción 18,'2023/07/12 10:29:33','429.00'
18,Extracción 19,'2023/07/12 23:05:33','429.00'
18,Extracción 20,'2023/07/12 23:05:33','429.00'
18,Extracción 21,'2023/07/13 13:05:33','429.00'
18,Extracción 22,'2023/07/13 18:41:33','429.00'
18,Extracción 23,'2023/07/14 01:41:33','429.00'
18,Extracción 24,'2023/07/14 13:56:48','341.00'
18,Extracción 25,'2023/07/14 20:56:48','341.00'
18,Extracción 26,'2023/07/15 02:53:25','365.00'
18,Extracción 27,'2023/07/15 15:29:25','365.00'
18,Extracción 28,'2023/07/15 22:29:25','365.00'
18,Extracción 29,'2023/07/16 04:05:25','365.00'
18,Extracción 30,'2023/07/16 18:05:25','365.00'
18,Extracción 31,'2023/07/16 23:41:25','365.00'
18,Extracción 32,'2023/07/17 06:41:25','365.00'
18,Extracción 33,'2023/07/17 19:34:45','399.00'
18,Extracción 34,'2023/07/18 01:10:45','399.00'
18,Extracción 35,'2023/07/18 08:10:45','399.00'
18,Extracción 36,'2023/07/18 20:46:45','399.00'
18,Extracción 37,'2023/07/19 03:46:45','399.00'
18,Extracción 38,'2023/07/19 09:22:45','399.00'
18,Extracción 39,'2023/07/19 23:22:45','399.00'
18,Extracción 40,'2023/07/19 23:22:45','399.00'
18,Extracción 41,'2023/07/20 11:58:45','399.00'
18,Extracción 42,'2023/07/20 17:34:45','399.00'
18,Extracción 43,'2023/07/21 00:34:45','399.00'
18,Extracción 44,'2023/07/21 13:41:08','396.00'
18,Extracción 45,'2023/07/21 19:17:08','396.00'
18,Extracción 46,'2023/07/22 02:17:08','396.00'
18,Extracción 47,'2023/07/22 14:53:08','396.00'
18,Extracción 48,'2023/07/22 21:53:08','396.00'
18,Extracción 49,'2023/07/23 03:29:08','396.00'
18,Extracción 50,'2023/07/23 16:05:08','396.00'
18,Extracción 51,'2023/07/23 23:05:08','396.00'
18,Extracción 52,'2023/07/24 06:05:08','396.00'
18,Extracción 53,'2023/07/24 18:41:08','396.00'
18,Extracción 54,'2023/07/25 00:17:08','396.00'
18,Extracción 55,'2023/07/25 07:17:08','396.00'
18,Extracción 56,'2023/07/25 19:58:03','365.00'
18,Extracción 57,'2023/07/26 02:58:03','365.00'
18,Extracción 58,'2023/07/26 08:34:03','365.00'
18,Extracción 59,'2023/07/26 21:10:03','365.00'
18,Extracción 60,'2023/07/26 21:10:03','365.00'
18,Extracción 61,'2023/07/27 11:10:03','365.00'
18,Extracción 62,'2023/07/27 16:46:03','365.00'
18,Extracción 63,'2023/07/27 23:46:03','365.00'
18,Extracción 64,'2023/07/28 12:22:03','365.00'
18,Extracción 65,'2023/07/28 19:22:03','365.00'
18,Extracción 66,'2023/07/29 00:58:03','365.00'
18,Extracción 67,'2023/07/29 13:34:03','365.00'
18,Extracción 68,'2023/07/29 20:34:03','365.00'
18,Extracción 69,'2023/07/30 03:34:03','365.00'
