Product ID,N_Extracción,Datos
55,Extracción 0,"['2023/09/13 14:20:08', '279.00']"
55,Extracción 1,"['2023/09/13 14:20:08', '279.00']"
55,Extracción 2,"['2023/09/13 19:56:08', '279.00']"
55,Extracción 3,"['2023/09/13 22:44:08', '279.00']"
55,Extracción 4,"['2023/09/14 04:20:08', '279.00']"
55,Extracción 5,"['2023/09/14 07:08:08', '279.00']"
55,Extracción 6,"['2023/09/14 09:56:08', '279.00']"
55,Extracción 7,"['2023/09/14 15:32:08', '279.00']"
55,Extracción 8,"['2023/09/14 18:20:08', '279.00']"
55,Extracción 9,"['2023/09/14 22:32:08', '279.00']"
55,Extracción 10,"['2023/09/15 04:08:08', '279.00']"
55,Extracción 11,"['2023/09/15 06:56:08', '279.00']"
55,Extracción 12,"['2023/09/15 09:44:08', '279.00']"
55,Extracción 13,"['2023/09/15 15:20:08', '279.00']"
55,Extracción 14,"['2023/09/15 18:08:08', '279.00']"
55,Extracción 15,"['2023/09/15 20:56:08', '279.00']"
55,Extracción 16,"['2023/09/16 02:32:08', '279.00']"
55,Extracción 17,"['2023/09/16 05:20:08', '279.00']"
55,Extracción 18,"['2023/09/16 08:08:08', '279.00']"
55,Extracción 19,"['2023/09/16 13:44:08', '279.00']"
55,Extracción 20,"['2023/09/16 13:44:08', '279.00']"
55,Extracción 21,"['2023/09/16 19:41:10', '259.00']"
55,Extracción 22,"['2023/09/16 22:29:10', '259.00']"
55,Extracción 23,"['2023/09/17 01:17:10', '259.00']"
55,Extracción 24,"['2023/09/17 06:53:10', '259.00']"
55,Extracción 25,"['2023/09/17 10:03:18', '279.00']"
55,Extracción 26,"['2023/09/17 12:51:18', '279.00']"
55,Extracción 27,"['2023/09/17 18:27:18', '279.00']"
55,Extracción 28,"['2023/09/17 21:15:18', '279.00']"
55,Extracción 29,"['2023/09/18 00:03:18', '279.00']"
55,Extracción 30,"['2023/09/18 05:39:18', '279.00']"
55,Extracción 31,"['2023/09/18 08:27:18', '279.00']"
55,Extracción 32,"['2023/09/18 11:15:18', '279.00']"
55,Extracción 33,"['2023/09/18 16:51:18', '279.00']"
55,Extracción 34,"['2023/09/18 19:39:18', '279.00']"
55,Extracción 35,"['2023/09/18 22:27:18', '279.00']"
55,Extracción 36,"['2023/09/19 04:03:18', '279.00']"
55,Extracción 37,"['2023/09/19 07:04:07', '267.00']"
55,Extracción 38,"['2023/09/19 09:52:07', '267.00']"
55,Extracción 39,"['2023/09/19 16:49:20', '279.00']"
55,Extracción 40,"['2023/09/19 16:49:20', '279.00']"
55,Extracción 41,"['2023/09/19 22:25:20', '279.00']"
55,Extracción 42,"['2023/09/20 01:13:20', '279.00']"
55,Extracción 43,"['2023/09/20 04:01:20', '279.00']"
55,Extracción 44,"['2023/09/20 09:37:20', '279.00']"
55,Extracción 45,"['2023/09/20 12:25:20', '279.00']"
55,Extracción 46,"['2023/09/20 15:13:20', '279.00']"
55,Extracción 47,"['2023/09/20 20:49:20', '279.00']"
55,Extracción 48,"['2023/09/20 23:37:20', '279.00']"
55,Extracción 49,"['2023/09/21 02:25:20', '279.00']"
55,Extracción 50,"['2023/09/21 08:01:20', '279.00']"
55,Extracción 51,"['2023/09/21 10:49:20', '279.00']"
55,Extracción 52,"['2023/09/21 13:37:20', '279.00']"
55,Extracción 53,"['2023/09/21 19:13:20', '279.00']"
55,Extracción 54,"['2023/09/21 22:01:20', '279.00']"
55,Extracción 55,"['2023/09/22 00:49:20', '279.00']"
55,Extracción 56,"['2023/09/22 06:25:20', '279.00']"
55,Extracción 57,"['2023/09/22 09:13:20', '279.00']"
55,Extracción 58,"['2023/09/22 12:01:20', '279.00']"
55,Extracción 59,"['2023/09/22 18:11:04', '278.00']"
55,Extracción 60,"['2023/09/22 18:11:04', '278.00']"
55,Extracción 61,"['2023/09/22 23:47:04', '278.00']"
55,Extracción 62,"['2023/09/23 02:27:00', '279.00']"
55,Extracción 63,"['2023/09/23 05:15:00', '279.00']"
55,Extracción 64,"['2023/09/23 11:32:52', '278.00']"
55,Extracción 65,"['2023/09/23 14:20:52', '278.00']"
55,Extracción 66,"['2023/09/23 17:08:52', '278.00']"
55,Extracción 67,"['2023/09/23 22:44:52', '278.00']"
55,Extracción 68,"['2023/09/24 01:32:52', '278.00']"
55,Extracción 69,"['2023/09/24 04:20:52', '278.00']"
55,Extracción 70,"['2023/09/24 09:56:52', '278.00']"
55,Extracción 71,"['2023/09/24 12:44:52', '278.00']"
55,Extracción 72,"['2023/09/24 15:32:52', '278.00']"
55,Extracción 73,"['2023/09/24 22:32:52', '278.00']"
55,Extracción 74,"['2023/09/25 01:20:52', '278.00']"
55,Extracción 75,"['2023/09/25 04:08:52', '278.00']"
55,Extracción 76,"['2023/09/25 09:44:52', '278.00']"
55,Extracción 77,"['2023/09/25 12:32:52', '278.00']"
55,Extracción 78,"['2023/09/25 15:20:52', '278.00']"
