N_Extracción,Product ID,Fecha,Precio
Extracción 0,2,2023-05-07, 0
Extracción 1,2,2023-05-07, 0
Extracción 2,2,2023-05-08, '949'
Extracción 3,2,2023-05-08, '949.00'
Extracción 4,2,2023-05-09, '1088.00'
Extracción 5,2,2023-05-09, '949'
Extracción 6,2,2023-05-10, '949.00'
Extracción 7,2,2023-05-10, '949'
Extracción 8,2,2023-05-11, '949'
Extracción 9,2,2023-05-11, '949.00'
Extracción 10,2,2023-05-12, '949'
Extracción 11,2,2023-05-12, '949'
Extracción 12,2,2023-05-13, '949.00'
Extracción 13,2,2023-05-13, '949'
Extracción 14,2,2023-05-14, '949'
Extracción 15,2,2023-05-14, '949.00'
Extracción 16,2,2023-05-15, '949'
Extracción 17,2,2023-05-15, '949'
Extracción 18,2,2023-05-16, '949.00'
Extracción 19,2,2023-05-16, '806.65'
Extracción 20,2,2023-05-17, '806.65'
Extracción 21,2,2023-05-17, '806.65'
Extracción 22,2,2023-05-18, '806.65'
Extracción 23,2,2023-05-18, '806.65'
Extracción 24,2,2023-05-19, '949'
Extracción 25,2,2023-05-19, '949'
Extracción 26,2,2023-05-20, '949.00'
Extracción 27,2,2023-05-20, '949'
Extracción 28,2,2023-05-21, '949'
Extracción 29,2,2023-05-21, '949.00'
Extracción 30,2,2023-05-22, '949'
Extracción 31,2,2023-05-22, '949'
Extracción 32,2,2023-05-23, '949.00'
Extracción 33,2,2023-05-23, '949'
Extracción 34,2,2023-05-24, '949'
Extracción 35,2,2023-05-24, '949.00'
Extracción 36,2,2023-05-25, '949'
Extracción 37,2,2023-05-25, '949'
Extracción 38,2,2023-05-26, '949.00'
Extracción 39,2,2023-05-26, '949'
Extracción 40,2,2023-05-27, '949.00'
Extracción 41,2,2023-05-27, '949'
Extracción 42,2,2023-05-28, '949'
Extracción 43,2,2023-05-28, '908.26'
Extracción 44,2,2023-05-29, '908.26'
Extracción 45,2,2023-05-29, '908.26'
Extracción 46,2,2023-05-30, '908.26'
Extracción 47,2,2023-05-30, '908.26'
Extracción 48,2,2023-05-31, '908.26'
Extracción 49,2,2023-05-31, '908.26'
Extracción 50,2,2023-06-01, '908.26'
Extracción 51,2,2023-06-01, '908.26'
Extracción 52,2,2023-06-02, '908.26'
Extracción 53,2,2023-06-02, '908.26'
Extracción 54,2,2023-06-03, '908.26'
Extracción 55,2,2023-06-03, '908.26'
Extracción 56,2,2023-06-04, '908.26'
Extracción 57,2,2023-06-04, '949'
Extracción 58,2,2023-06-05, '949.00'
Extracción 59,2,2023-06-05, '949'
Extracción 60,2,2023-06-06, '949.00'
Extracción 61,2,2023-06-06, '949'
Extracción 62,2,2023-06-07, '949'
Extracción 63,2,2023-06-07, '949.00'
Extracción 64,2,2023-06-08, '949'
Extracción 65,2,2023-06-08, '949'
Extracción 66,2,2023-06-09, '949.00'
Extracción 67,2,2023-06-09, '949'
Extracción 68,2,2023-06-10, '949'
