N_Extracción,Product ID,Fecha,Precio
Extracción 0,3,2023-05-07, 0
Extracción 1,3,2023-05-07, 0
Extracción 2,3,2023-05-08, '699'
Extracción 3,3,2023-05-08, '699.00'
Extracción 4,3,2023-05-09, '699'
Extracción 5,3,2023-05-09, '699.00'
Extracción 6,3,2023-05-10, '699.00'
Extracción 7,3,2023-05-10, '699.00'
Extracción 8,3,2023-05-11, '699.00'
Extracción 9,3,2023-05-11, '699.00'
Extracción 10,3,2023-05-12, '699.00'
Extracción 11,3,2023-05-12, '699.00'
Extracción 12,3,2023-05-13, '699.00'
Extracción 13,3,2023-05-13, '699'
Extracción 14,3,2023-05-14, '699.00'
Extracción 15,3,2023-05-14, '699.00'
Extracción 16,3,2023-05-15, '699.00'
Extracción 17,3,2023-05-15, '699.00'
Extracción 18,3,2023-05-16, '699.00'
Extracción 19,3,2023-05-16, '699'
Extracción 20,3,2023-05-17, '699.00'
Extracción 21,3,2023-05-17, '699'
Extracción 22,3,2023-05-18, '699.00'
Extracción 23,3,2023-05-18, '699.00'
Extracción 24,3,2023-05-19, '699.00'
Extracción 25,3,2023-05-19, '699.00'
Extracción 26,3,2023-05-20, '699.00'
Extracción 27,3,2023-05-20, '699.00'
Extracción 28,3,2023-05-21, '699.00'
Extracción 29,3,2023-05-21, '699.00'
Extracción 30,3,2023-05-22, '699'
Extracción 31,3,2023-05-22, '699.00'
Extracción 32,3,2023-05-23, '699.00'
Extracción 33,3,2023-05-23, '699.00'
Extracción 34,3,2023-05-24, '699.00'
Extracción 35,3,2023-05-24, '699.00'
Extracción 36,3,2023-05-25, '699'
Extracción 37,3,2023-05-25, '699.00'
Extracción 38,3,2023-05-26, '699.00'
Extracción 39,3,2023-05-26, '699'
Extracción 40,3,2023-05-27, '699.00'
Extracción 41,3,2023-05-27, '699.00'
Extracción 42,3,2023-05-28, '699.00'
Extracción 43,3,2023-05-28, '699.00'
Extracción 44,3,2023-05-29, '699.00'
Extracción 45,3,2023-05-29, '699.00'
Extracción 46,3,2023-05-30, '699.00'
Extracción 47,3,2023-05-30, '699.00'
Extracción 48,3,2023-05-31, '699.00'
Extracción 49,3,2023-05-31, '699.00'
Extracción 50,3,2023-06-01, '699.00'
Extracción 51,3,2023-06-01, '699.00'
Extracción 52,3,2023-06-02, '660.29'
Extracción 53,3,2023-06-02, '660.29'
Extracción 54,3,2023-06-03, '660.29'
Extracción 55,3,2023-06-03, '660.29'
Extracción 56,3,2023-06-04, '699'
Extracción 57,3,2023-06-04, '699.00'
Extracción 58,3,2023-06-05, '699.00'
Extracción 59,3,2023-06-05, '699.00'
Extracción 60,3,2023-06-06, '699.00'
Extracción 61,3,2023-06-06, '699'
Extracción 62,3,2023-06-07, '699.00'
Extracción 63,3,2023-06-07, '699.00'
Extracción 64,3,2023-06-08, '699.00'
Extracción 65,3,2023-06-08, '699.00'
Extracción 66,3,2023-06-09, '699.00'
Extracción 67,3,2023-06-09, '699.00'
Extracción 68,3,2023-06-10, '699.00'
Extracción 69,3,2023-06-10, '699.00'
Extracción 70,3,2023-06-11, '699.00'
Extracción 71,3,2023-06-11, '699.00'
Extracción 72,3,2023-06-12, '699.00'
Extracción 73,3,2023-06-12, '699.00'
Extracción 74,3,2023-06-13, '699.00'
Extracción 75,3,2023-06-13, '699.00'
Extracción 76,3,2023-06-14, '699.00'
Extracción 77,3,2023-06-14, '699.00'
Extracción 78,3,2023-06-15, '699.00'
Extracción 79,3,2023-06-15, '699.00'
Extracción 80,3,2023-06-16, '699.00'
Extracción 81,3,2023-06-16, '699.00'
Extracción 82,3,2023-06-17, '699.00'
Extracción 83,3,2023-06-17, '699.00'
Extracción 84,3,2023-06-18, '699.00'
Extracción 85,3,2023-06-18, '699.00'
Extracción 86,3,2023-06-19, '699.00'
Extracción 87,3,2023-06-19, '699'
Extracción 88,3,2023-06-20, '699.00'
Extracción 89,3,2023-06-20, '699.00'
Extracción 90,3,2023-06-21, '699.00'
Extracción 91,3,2023-06-21, '699.00'
Extracción 92,3,2023-06-22, '699.00'
Extracción 93,3,2023-06-22, '699.00'
Extracción 94,3,2023-06-23, '699.00'
Extracción 95,3,2023-06-23, '699.00'
Extracción 96,3,2023-06-24, '699.00'
