N_Extracción,Product ID,Fecha,Precio
Extracción 0,75,2023-05-07, '658.99'
Extracción 1,75,2023-05-07, '658.99'
Extracción 2,75,2023-05-08, '579.00'
Extracción 3,75,2023-05-08, '579.00'
Extracción 4,75,2023-05-09, '579.00'
Extracción 5,75,2023-05-09, '579.00'
Extracción 6,75,2023-05-10, '579.00'
Extracción 7,75,2023-05-10, '579.00'
Extracción 8,75,2023-05-11, '579.00'
Extracción 9,75,2023-05-11, '579.00'
Extracción 10,75,2023-05-12, '579.00'
Extracción 11,75,2023-05-12, '579.00'
Extracción 12,75,2023-05-13, '579.00'
Extracción 13,75,2023-05-13, '579.00'
Extracción 14,75,2023-05-14, '579.00'
Extracción 15,75,2023-05-14, '579.00'
Extracción 16,75,2023-05-15, '579.00'
Extracción 17,75,2023-05-15, '579.00'
Extracción 18,75,2023-05-16, '579.00'
Extracción 19,75,2023-05-16, '599'
Extracción 20,75,2023-05-17, '599.99'
Extracción 21,75,2023-05-17, '599'
Extracción 22,75,2023-05-18, '599'
Extracción 23,75,2023-05-18, '599.99'
Extracción 24,75,2023-05-19, '599'
Extracción 25,75,2023-05-19, '599.99'
Extracción 26,75,2023-05-20, '599.99'
Extracción 27,75,2023-05-20, '599'
Extracción 28,75,2023-05-21, '599.99'
Extracción 29,75,2023-05-21, '599.99'
Extracción 30,75,2023-05-22, '599'
Extracción 31,75,2023-05-22, '599'
Extracción 32,75,2023-05-23, '599.99'
Extracción 33,75,2023-05-23, '599'
Extracción 34,75,2023-05-24, '599.99'
Extracción 35,75,2023-05-24, '599.99'
Extracción 36,75,2023-05-25, '599'
Extracción 37,75,2023-05-25, '599.99'
Extracción 38,75,2023-05-26, '599.99'
Extracción 39,75,2023-05-26, '599'
Extracción 40,75,2023-05-27, '599.99'
Extracción 41,75,2023-05-27, '599'
Extracción 42,75,2023-05-28, '599'
Extracción 43,75,2023-05-28, '576.99'
Extracción 44,75,2023-05-29, '576.99'
Extracción 45,75,2023-05-29, '579.99'
Extracción 46,75,2023-05-30, '579.99'
Extracción 47,75,2023-05-30, '579.99'
Extracción 48,75,2023-05-31, '579.99'
Extracción 49,75,2023-05-31, '579.99'
