N_Extracción,Product ID,Fecha,Precio
Extracción 0,43,2023-05-07, 0
N_Extracción,43,2023-05-07,
Extracción 0,43,2023-05-08, '39.99'
Extracción 1,43,2023-05-08, '39.99'
Extracción 2,43,2023-05-09, '39.99'
Extracción 3,43,2023-05-09, '37.99'
Extracción 4,43,2023-05-10, '37.99'
Extracción 5,43,2023-05-10, '36.99'
Extracción 6,43,2023-05-11, '39.99'
Extracción 7,43,2023-05-11, '36.99'
Extracción 8,43,2023-05-12, '36.99'
Extracción 9,43,2023-05-12, '36.99'
Extracción 10,43,2023-05-13, '38.99'
Extracción 11,43,2023-05-13, '36.99'
Extracción 12,43,2023-05-14, '36.99'
Extracción 13,43,2023-05-14, '38.99'
Extracción 14,43,2023-05-15, '36.99'
Extracción 15,43,2023-05-15, '36.99'
Extracción 16,43,2023-05-16, '36.99'
Extracción 17,43,2023-05-16, '36.99'
Extracción 18,43,2023-05-17, '3144'
Extracción 19,43,2023-05-17, '3144'
Extracción 20,43,2023-05-18, '3144'
Extracción 21,43,2023-05-18, '3144'
Extracción 22,43,2023-05-19, '35.99'
Extracción 23,43,2023-05-19, '35.99'
Extracción 24,43,2023-05-20, '39.99'
Extracción 25,43,2023-05-20, '39.99'
Extracción 26,43,2023-05-21, '38.99'
Extracción 27,43,2023-05-21, '39.99'
Extracción 28,43,2023-05-22, '39.99'
Extracción 29,43,2023-05-22, '39.99'
Extracción 30,43,2023-05-23, '39.99'
Extracción 31,43,2023-05-23, '39.99'
Extracción 32,43,2023-05-24, '39.99'
Extracción 33,43,2023-05-24, '39.99'
Extracción 34,43,2023-05-25, '39.99'
Extracción 35,43,2023-05-25, '39.99'
Extracción 36,43,2023-05-26, '39.99'
Extracción 37,43,2023-05-26, '39.99'
Extracción 38,43,2023-05-27, '39.99'
Extracción 39,43,2023-05-27, '39.99'
Extracción 40,43,2023-05-28, '39.99'
Extracción 41,43,2023-05-28, '39.99'
Extracción 42,43,2023-05-29, '39.99'
Extracción 43,43,2023-05-29, '33.05'
Extracción 44,43,2023-05-30, '33.05'
Extracción 45,43,2023-05-30, '33.05'
Extracción 46,43,2023-05-31, '33.05'
Extracción 47,43,2023-05-31, '39.99'
Extracción 48,43,2023-06-01, '39.99'
Extracción 49,43,2023-06-01, '39.99'
Extracción 50,43,2023-06-02, '36.99'
Extracción 51,43,2023-06-02, '38.99'
Extracción 52,43,2023-06-03, '38.99'
Extracción 53,43,2023-06-03, '38.99'
Extracción 54,43,2023-06-04, '38.99'
Extracción 55,43,2023-06-04, '38.99'
Extracción 56,43,2023-06-05, '38.99'
Extracción 57,43,2023-06-05, '38.99'
Extracción 58,43,2023-06-06, '38.99'
Extracción 59,43,2023-06-06, '38.99'
Extracción 60,43,2023-06-07, '38.99'
Extracción 61,43,2023-06-07, '39.90'
Extracción 62,43,2023-06-08, '39.90'
Extracción 63,43,2023-06-08, '39.90'
Extracción 64,43,2023-06-09, '39.90'
Extracción 65,43,2023-06-09, '39.90'
Extracción 66,43,2023-06-10, '39.90'
Extracción 67,43,2023-06-10, '39.90'
Extracción 68,43,2023-06-11, '39.90'
Extracción 69,43,2023-06-11, '39.90'
Extracción 70,43,2023-06-12, '39.90'
Extracción 71,43,2023-06-12, '39.90'
Extracción 72,43,2023-06-13, '39.90'
Extracción 73,43,2023-06-13, '39.90'
Extracción 74,43,2023-06-14, '39.90'
Extracción 75,43,2023-06-14, '39.90'
Extracción 76,43,2023-06-15, '39.90'
Extracción 77,43,2023-06-15, '39.90'
Extracción 78,43,2023-06-16, '39.90'
Extracción 79,43,2023-06-16, '39.90'
Extracción 80,43,2023-06-17, '39.90'
Extracción 81,43,2023-06-17, '39.90'
Extracción 82,43,2023-06-18, '39.90'
Extracción 83,43,2023-06-18, '39.90'
Extracción 84,43,2023-06-19, '39.90'
Extracción 85,43,2023-06-19, '39.90'
Extracción 86,43,2023-06-20, '39.90'
Extracción 87,43,2023-06-20, '39.90'
Extracción 88,43,2023-06-21, '39.90'
Extracción 89,43,2023-06-21, '39.90'
Extracción 90,43,2023-06-22, '39.90'
Extracción 91,43,2023-06-22, '39.90'
Extracción 92,43,2023-06-23, '39.90'
Extracción 93,43,2023-06-23, '39.90'
Extracción 94,43,2023-06-24, '39.90'
Extracción 95,43,2023-06-24, '39.90'
Extracción 96,43,2023-06-25, '39.90'
Extracción 97,43,2023-06-25, '39.90'
Extracción 98,43,2023-06-26, '39.90'
Extracción 99,43,2023-06-26, '39.90'
Extracción 100,43,2023-06-27, '39.90'
Extracción 101,43,2023-06-27, '39.90'
Extracción 102,43,2023-06-28, '39.90'
Extracción 103,43,2023-06-28, '39.90'
Extracción 104,43,2023-06-29, '39.90'
Extracción 105,43,2023-06-29, '39.90'
Extracción 106,43,2023-06-30, '39.90'
Extracción 107,43,2023-06-30, '38.99'
Extracción 108,43,2023-07-01, '38.99'
Extracción 109,43,2023-07-01, '38.99'
Extracción 110,43,2023-07-02, '38.99'
Extracción 111,43,2023-07-02, '38.99'
Extracción 112,43,2023-07-03, '38.99'
Extracción 113,43,2023-07-03, '38.99'
Extracción 114,43,2023-07-04, '38.99'
Extracción 115,43,2023-07-04, '38.99'
Extracción 116,43,2023-07-05, '39.99'
Extracción 117,43,2023-07-05, '39.99'
Extracción 118,43,2023-07-06, '37.99'
Extracción 119,43,2023-07-06, '37.99'
Extracción 120,43,2023-07-07, '37.99'
Extracción 121,43,2023-07-07, '37.99'
Extracción 122,43,2023-07-08, '37.99'
Extracción 123,43,2023-07-08, '37.99'
Extracción 124,43,2023-07-09, '37.99'
Extracción 125,43,2023-07-09, '37.99'
Extracción 126,43,2023-07-10, '37.99'
Extracción 127,43,2023-07-10, '37.99'
Extracción 128,43,2023-07-11, '37.99'
Extracción 129,43,2023-07-11, '37.99'
Extracción 130,43,2023-07-12, '37.99'
Extracción 131,43,2023-07-12, '37.99'
Extracción 132,43,2023-07-13, '37.99'
Extracción 133,43,2023-07-13, '37.99'
Extracción 134,43,2023-07-14, '37.99'
Extracción 135,43,2023-07-14, '37.99'
Extracción 136,43,2023-07-15, '37.99'
Extracción 137,43,2023-07-15, '37.99'
Extracción 138,43,2023-07-16, '37.99'
Extracción 139,43,2023-07-16, '37.99'
Extracción 140,43,2023-07-17, '37.99'
Extracción 141,43,2023-07-17, '37.99'
Extracción 142,43,2023-07-18, '37.99'
Extracción 143,43,2023-07-18, '37.99'
Extracción 144,43,2023-07-19, '40.99'
Extracción 145,43,2023-07-19, '37.90'
Extracción 146,43,2023-07-20, '37.90'
Extracción 147,43,2023-07-20, '37.90'
Extracción 148,43,2023-07-21, '37.90'
Extracción 149,43,2023-07-21, '37.90'
Extracción 150,43,2023-07-22, '37.90'
Extracción 151,43,2023-07-22, '54.99'
Extracción 152,43,2023-07-23, '54.99'
Extracción 153,43,2023-07-23, '37.90'
Extracción 154,43,2023-07-24, '37.90'
Extracción 155,43,2023-07-24, '37.90'
Extracción 156,43,2023-07-25, '37.99'
Extracción 157,43,2023-07-25, '37.90'
Extracción 158,43,2023-07-26, '37.90'
Extracción 159,43,2023-07-26, '37.90'
Extracción 160,43,2023-07-27, '37.90'
Extracción 161,43,2023-07-27, '37.90'
Extracción 162,43,2023-07-28, '37.90'
Extracción 163,43,2023-07-28, '37.90'
Extracción 164,43,2023-07-29, '37.90'
Extracción 165,43,2023-07-29, '37.90'
Extracción 166,43,2023-07-30, '37.90'
Extracción 167,43,2023-07-30, '37.90'
Extracción 168,43,2023-07-31, '37.90'
Extracción 169,43,2023-07-31, '37.90'
Extracción 170,43,2023-08-01, '37.90'
Extracción 171,43,2023-08-01, '37.90'
Extracción 172,43,2023-08-02, '37.90'
Extracción 173,43,2023-08-02, '37.90'
Extracción 174,43,2023-08-03, '37.90'
Extracción 175,43,2023-08-03, '40.99'
Extracción 176,43,2023-08-04, '37.90'
Extracción 177,43,2023-08-04, '37.90'
Extracción 178,43,2023-08-05, '37.90'
Extracción 179,43,2023-08-05, '37.90'
Extracción 180,43,2023-08-06, '37.90'
Extracción 181,43,2023-08-06, '37.90'
Extracción 182,43,2023-08-07, '37.90'
Extracción 183,43,2023-08-07, '37.90'
Extracción 184,43,2023-08-08, '37.90'
Extracción 185,43,2023-08-08, '37.90'
Extracción 186,43,2023-08-09, '37.90'
Extracción 187,43,2023-08-09, '37.90'
Extracción 188,43,2023-08-10, '37.90'
Extracción 189,43,2023-08-10, '37.90'
Extracción 190,43,2023-08-11, '37.90'
Extracción 191,43,2023-08-11, '37.90'
Extracción 192,43,2023-08-12, '37.90'
Extracción 193,43,2023-08-12, '37.90'
Extracción 194,43,2023-08-13, '37.90'
Extracción 195,43,2023-08-13, '37.90'
Extracción 196,43,2023-08-14, '37.90'
Extracción 197,43,2023-08-14, '37.90'
Extracción 198,43,2023-08-15, '37.90'
Extracción 199,43,2023-08-15, '37.90'
Extracción 200,43,2023-08-16, '37.90'
Extracción 201,43,2023-08-16, '37.90'
Extracción 202,43,2023-08-17, 0
Extracción 203,43,2023-08-17, 0
Extracción 204,43,2023-08-18, 0
Extracción 205,43,2023-08-18, 0
Extracción 206,43,2023-08-19, 0
Extracción 207,43,2023-08-19, 0
Extracción 208,43,2023-08-20, 0
Extracción 209,43,2023-08-20, 0
Extracción 210,43,2023-08-21, 0
Extracción 211,43,2023-08-21, 0
Extracción 212,43,2023-08-22, 0
Extracción 213,43,2023-08-22, 0
Extracción 214,43,2023-08-23, 0
Extracción 215,43,2023-08-23, 0
Extracción 216,43,2023-08-24, 0
Extracción 217,43,2023-08-24, 0
Extracción 218,43,2023-08-25, 0
Extracción 219,43,2023-08-25, 0
Extracción 220,43,2023-08-26, 0
Extracción 221,43,2023-08-26, 0
Extracción 222,43,2023-08-27, 0
Extracción 223,43,2023-08-27, 0
Extracción 224,43,2023-08-28, 0
Extracción 225,43,2023-08-28, 0
Extracción 226,43,2023-08-29, 0
Extracción 227,43,2023-08-29, 0
Extracción 228,43,2023-08-30, 0
Extracción 229,43,2023-08-30, 0
Extracción 230,43,2023-08-31, 0
Extracción 231,43,2023-08-31, 0
Extracción 232,43,2023-09-01, 0
Extracción 233,43,2023-09-01, 0
Extracción 234,43,2023-09-02, 0
Extracción 235,43,2023-09-02, 0
Extracción 236,43,2023-09-03, 0
Extracción 237,43,2023-09-03, 0
Extracción 238,43,2023-09-04, 0
Extracción 239,43,2023-09-04, 0
Extracción 240,43,2023-09-05, 0
Extracción 241,43,2023-09-05, 0
Extracción 242,43,2023-09-06, 0
Extracción 243,43,2023-09-06, 0
Extracción 244,43,2023-09-07, 0
Extracción 245,43,2023-09-07, 0
Extracción 246,43,2023-09-08, 0
Extracción 247,43,2023-09-08, 0
Extracción 248,43,2023-09-09, 0
Extracción 249,43,2023-09-09, 0
Extracción 250,43,2023-09-10, 0
Extracción 251,43,2023-09-10, 0
Extracción 252,43,2023-09-11, 0
Extracción 253,43,2023-09-11, 0
Extracción 254,43,2023-09-12, 0
Extracción 255,43,2023-09-12, 0
Extracción 256,43,2023-09-13, 0
Extracción 257,43,2023-09-13, 0
Extracción 258,43,2023-09-14, 0
Extracción 259,43,2023-09-14, 0
