N_Extracción,Product ID,Fecha,Precio
Extracción 0,53,2023-05-07, '449'
Extracción 1,53,2023-05-07, '449'
Extracción 2,53,2023-05-08, '449'
Extracción 3,53,2023-05-10, '449'
Extracción 4,53,2023-05-10, '449'
Extracción 5,53,2023-05-11, '449'
Extracción 6,53,2023-05-13, '449'
Extracción 7,53,2023-05-13, '449'
Extracción 8,53,2023-05-14, '449'
Extracción 9,53,2023-05-16, '449'
Extracción 10,53,2023-05-16, '449'
Extracción 11,53,2023-05-17, '449'
Extracción 12,53,2023-05-19, '449'
Extracción 13,53,2023-05-19, '449'
Extracción 14,53,2023-05-20, '449'
Extracción 15,53,2023-05-22, '449'
Extracción 16,53,2023-05-22, 0
Extracción 17,53,2023-05-23, '449'
Extracción 18,53,2023-05-25, '449'
Extracción 19,53,2023-05-25, '449'
Extracción 20,53,2023-05-26, '449'
Extracción 21,53,2023-05-28, '449'
Extracción 22,53,2023-05-28, '449'
Extracción 23,53,2023-05-29, '449'
Extracción 24,53,2023-05-31, '449'
Extracción 25,53,2023-05-31, '449'
Extracción 26,53,2023-06-01, '449'
Extracción 27,53,2023-06-03, '449'
Extracción 28,53,2023-06-03, '449'
Extracción 29,53,2023-06-04, '449'
Extracción 30,53,2023-06-06, '449'
Extracción 31,53,2023-06-06, '449'
Extracción 32,53,2023-06-07, '449'
Extracción 33,53,2023-06-09, '449'
Extracción 34,53,2023-06-09, 0
Extracción 35,53,2023-06-10, '449'
Extracción 36,53,2023-06-12, '449'
Extracción 37,53,2023-06-12, '449'
Extracción 38,53,2023-06-13, '449'
Extracción 39,53,2023-06-15, '449'
Extracción 40,53,2023-06-15, '449'
Extracción 41,53,2023-06-16, '449'
Extracción 42,53,2023-06-18, '449'
Extracción 43,53,2023-06-18, '449'
Extracción 44,53,2023-06-19, '449'
Extracción 45,53,2023-06-21, '449'
Extracción 46,53,2023-06-21, '449'
Extracción 47,53,2023-06-22, '449'
Extracción 48,53,2023-06-24, '449'
Extracción 49,53,2023-06-24, '449'
Extracción 50,53,2023-06-25, '449'
Extracción 51,53,2023-06-27, '449'
Extracción 52,53,2023-06-27, 0
Extracción 53,53,2023-06-28, '449'
Extracción 54,53,2023-06-30, '449'
Extracción 55,53,2023-06-30, '449'
Extracción 56,53,2023-07-01, '449'
Extracción 57,53,2023-07-03, '449'
Extracción 58,53,2023-07-03, '449'
Extracción 59,53,2023-07-04, '449'
Extracción 60,53,2023-07-06, '449'
Extracción 61,53,2023-07-06, '449'
Extracción 62,53,2023-07-07, '449'
Extracción 63,53,2023-07-09, 0
Extracción 64,53,2023-07-09, '449'
Extracción 65,53,2023-07-10, '449'
Extracción 66,53,2023-07-12, '449'
Extracción 67,53,2023-07-12, '449'
Extracción 68,53,2023-07-13, '449'
Extracción 69,53,2023-07-15, '449'
Extracción 70,53,2023-07-15, 0
Extracción 71,53,2023-07-16, '449'
Extracción 72,53,2023-07-18, '449'
Extracción 73,53,2023-07-18, '449'
Extracción 74,53,2023-07-19, '449'
Extracción 75,53,2023-07-21, '449'
Extracción 76,53,2023-07-21, '449'
Extracción 77,53,2023-07-22, '449'
Extracción 78,53,2023-07-24, '449'
Extracción 79,53,2023-07-24, '449'
Extracción 80,53,2023-07-25, '449'
Extracción 81,53,2023-07-27, 0
Extracción 82,53,2023-07-27, '449'
Extracción 83,53,2023-07-28, '449'
Extracción 84,53,2023-07-30, '449'
Extracción 85,53,2023-07-30, '449'
Extracción 86,53,2023-07-31, '449'
Extracción 87,53,2023-08-02, '449'
Extracción 88,53,2023-08-02, '449'
Extracción 89,53,2023-08-03, '449'
Extracción 90,53,2023-08-05, '449'
Extracción 91,53,2023-08-05, '449'
Extracción 92,53,2023-08-06, '449'
Extracción 93,53,2023-08-08, '449'
Extracción 94,53,2023-08-08, '449'
Extracción 95,53,2023-08-09, '449'
Extracción 96,53,2023-08-11, '449'
Extracción 97,53,2023-08-11, '449'
Extracción 98,53,2023-08-12, '449'
Extracción 99,53,2023-08-14, '449'
Extracción 100,53,2023-08-14, '449'
Extracción 101,53,2023-08-15, '449'
Extracción 102,53,2023-08-17, '449'
Extracción 103,53,2023-08-17, '449'
Extracción 104,53,2023-08-18, '449'
Extracción 105,53,2023-08-20, '449'
Extracción 106,53,2023-08-20, '449'
Extracción 107,53,2023-08-21, '449'
Extracción 108,53,2023-08-23, '449'
Extracción 109,53,2023-08-23, '449'
Extracción 110,53,2023-08-24, '449'
Extracción 111,53,2023-08-26, '449'
Extracción 112,53,2023-08-26, '449'
Extracción 113,53,2023-08-27, '449'
Extracción 114,53,2023-08-29, '449'
Extracción 115,53,2023-08-29, '449'
Extracción 116,53,2023-08-30, '449'
Extracción 117,53,2023-09-01, '449'
Extracción 118,53,2023-09-01, '449'
Extracción 119,53,2023-09-02, '449'
Extracción 120,53,2023-09-04, '449'
Extracción 121,53,2023-09-04, '449'
Extracción 122,53,2023-09-05, '449'
Extracción 123,53,2023-09-07, '449'
Extracción 124,53,2023-09-07, '449'
Extracción 125,53,2023-09-08, '449'
Extracción 126,53,2023-09-10, '449'
Extracción 127,53,2023-09-10, '449'
Extracción 128,53,2023-09-11, '449'
Extracción 129,53,2023-09-13, '449'
Extracción 130,53,2023-09-13, '449'
Extracción 131,53,2023-09-14, '449'
Extracción 132,53,2023-09-16, '449'
Extracción 133,53,2023-09-16, '449'
Extracción 134,53,2023-09-17, '449'
Extracción 135,53,2023-09-19, '449'
Extracción 136,53,2023-09-19, 0
Extracción 137,53,2023-09-20, '449'
Extracción 138,53,2023-09-22, 0
Extracción 139,53,2023-09-22, '449'
Extracción 140,53,2023-09-23, '449'
Extracción 141,53,2023-09-25, '449'
Extracción 142,53,2023-09-25, 0
Extracción 143,53,2023-09-26, '449'
Extracción 144,53,2023-09-28, '449'
Extracción 145,53,2023-09-28, '449'
Extracción 146,53,2023-09-29, '449'
Extracción 147,53,2023-10-01, '449'
Extracción 148,53,2023-10-01, '449'
Extracción 149,53,2023-10-02, 0
Extracción 150,53,2023-10-04, '449'
Extracción 151,53,2023-10-04, '449'
Extracción 152,53,2023-10-05, '449'
Extracción 153,53,2023-10-07, '449'
Extracción 154,53,2023-10-07, 0
Extracción 155,53,2023-10-08, '449'
Extracción 156,53,2023-10-10, 0
Extracción 157,53,2023-10-10, '449'
Extracción 158,53,2023-10-11, '449'
Extracción 159,53,2023-10-13, '449'
Extracción 160,53,2023-10-13, '449'
Extracción 161,53,2023-10-14, '449'
Extracción 162,53,2023-10-16, '449'
Extracción 163,53,2023-10-16, '449'
Extracción 164,53,2023-10-17, '449'
Extracción 165,53,2023-10-19, 0
Extracción 166,53,2023-10-19, '449'
Extracción 167,53,2023-10-20, 0
Extracción 168,53,2023-10-22, '449'
Extracción 169,53,2023-10-22, '449'
Extracción 170,53,2023-10-23, '449'
Extracción 171,53,2023-10-25, '449'
Extracción 172,53,2023-10-25, '449'
Extracción 173,53,2023-10-26, '449'
Extracción 174,53,2023-10-28, '449'
Extracción 175,53,2023-10-28, 0
Extracción 176,53,2023-10-29, '449.99'
Extracción 177,53,2023-10-31, '449'
Extracción 178,53,2023-10-31, '449'
Extracción 179,53,2023-11-01, '449'
Extracción 180,53,2023-11-03, '449'
Extracción 181,53,2023-11-03, '449'
Extracción 182,53,2023-11-04, '449'
Extracción 183,53,2023-11-06, '449'
Extracción 184,53,2023-11-06, '449'
Extracción 185,53,2023-11-07, '449'
Extracción 186,53,2023-11-09, '449'
Extracción 187,53,2023-11-09, '449'
Extracción 188,53,2023-11-10, 0
Extracción 189,53,2023-11-12, '449'
Extracción 190,53,2023-11-12, '449'
Extracción 191,53,2023-11-13, 0
Extracción 192,53,2023-11-15, '449'
Extracción 193,53,2023-11-15, '449'
Extracción 194,53,2023-11-16, '449'
Extracción 195,53,2023-11-18, '449'
Extracción 196,53,2023-11-18, '449'
Extracción 197,53,2023-11-19, 0
Extracción 198,53,2023-11-21, '449'
Extracción 199,53,2023-11-21, '449'
Extracción 200,53,2023-11-22, '449'
Extracción 201,53,2023-11-24, '449'
Extracción 202,53,2023-11-24, '449'
Extracción 203,53,2023-11-25, '449'
Extracción 204,53,2023-11-27, '449'
Extracción 205,53,2023-11-27, '449'
Extracción 206,53,2023-11-28, '449'
Extracción 207,53,2023-11-30, '449'
Extracción 208,53,2023-11-30, '449'
Extracción 209,53,2023-12-01, '449'
Extracción 210,53,2023-12-03, '449'
Extracción 211,53,2023-12-03, '449'
Extracción 212,53,2023-12-04, '449'
Extracción 213,53,2023-12-06, '449'
Extracción 214,53,2023-12-06, '449'
Extracción 215,53,2023-12-07, '449'
Extracción 216,53,2023-12-09, 0
Extracción 217,53,2023-12-09, '449'
Extracción 218,53,2023-12-10, '449'
Extracción 219,53,2023-12-12, '448.00'
Extracción 220,53,2023-12-12, '448.00'
Extracción 221,53,2023-12-13, '448.00'
Extracción 222,53,2023-12-15, '448.00'
Extracción 223,53,2023-12-15, '448.00'
Extracción 224,53,2023-12-16, '448.00'
Extracción 225,53,2023-12-18, 0
Extracción 226,53,2023-12-18, '448.00'
Extracción 227,53,2023-12-19, '448.00'
Extracción 228,53,2023-12-21, '448.00'
Extracción 229,53,2023-12-21, '448.00'
Extracción 230,53,2023-12-22, '448.00'
Extracción 231,53,2023-12-24, '448.00'
Extracción 232,53,2023-12-24, '448.00'
Extracción 233,53,2023-12-25, 0
Extracción 234,53,2023-12-27, '448.00'
Extracción 235,53,2023-12-27, '448.00'
Extracción 236,53,2023-12-28, '448.00'
Extracción 237,53,2023-12-30, '448.00'
Extracción 238,53,2023-12-30, '448.00'
Extracción 239,53,2023-12-31, '448.00'
Extracción 240,53,2024-01-02, '448.00'
Extracción 241,53,2024-01-02, '448.00'
Extracción 242,53,2024-01-03, '448.00'
Extracción 243,53,2024-01-05, '448.00'
Extracción 244,53,2024-01-05, '448.00'
Extracción 245,53,2024-01-06, '448.00'
Extracción 246,53,2024-01-08, '448.00'
Extracción 247,53,2024-01-08, '448.00'
Extracción 248,53,2024-01-09, '448.00'
Extracción 249,53,2024-01-11, '448.00'
Extracción 250,53,2024-01-11, '448.00'
Extracción 251,53,2024-01-12, 0
Extracción 252,53,2023-05-07, 0
