product ID,Nombre,category ID,brand_id
1,Movil - OPPO Reno10 5G,3,43
2,Movil - Samsung Galaxy A54 5G,3,34
3,Movil - GALAXY S21 5G SAMSUNG,3,34
4,Movil - OPPO A57s,3,43
5,Movil - Google Pixel 7a 128 GB 8 GB RAM,3,18
6,Tablet - Samsung Galaxy Tab A8 64 GB,2,34
7,PS5 Marvel's Spiderman 2,7,36
8,Camara deportiva - GoPro Hero 11 Black,12,19
9,Camara de vigilancia IP - Xiaomi Smart Camera C200,13,41
10,Frigorifico combi - Balay 3KFD765BI Cristal,4,5
11,Samsung TV Neo QLED 65 - TQ65QN90CATXXC,1,34
12,Cafetera superautomatica - Krups Roma EA81K870,5,24
13,Moldeador - Cecotec Bamba CeramicCare AirGlam W,6,13
14,Smartwatch - Amazfit GTS 4 Mini,8,2
15,Patinete electrico - Smartgyro K2 Titan C,9,35
16,Barra de sonido - Samsung HW-Q930C/ZF,11,34
17,Repetidor WiFi - TP-Link RE450 Doble Banda,10,38
18,Movil - Xiaomi Redmi Note 12S,3,41
19,Movil - Xiaomi Redmi Note 9 Pro,3,41
20,PS5 Grand Theft Auto V,7,36
21,Camara EVIL - Canon EOS M50 Mark II 15-45,12,11
22,Camara de seguridad - Ezviz TY1 4MP,13,17
23,Lavavajillas - LG DF242,4,27
24,TV LG OLED48C35LA,1,27
25,Centro de planchado - GC6840/20 PHILIPS,5,32
26,Secador - Dyson Supersonic origin,6,16
27,Smartwatch - Samsung Galaxy Watch 6 BT 44mm,8,34
28,Bicicleta electrica - Youin You Ride Texas,9,42
29,Auriculares inalambricos - Sony WH-CH720NB,11,36
30,Disco duro externo 5 TB - WD_Black P10,10,40
31,Movil - iPhone 14 Blanco estrella 128 GB,3,3
32,Xiaomi Robot Vacuum S12,13,41
33,Nintendo Switch Sonic Superstars,7,30
34,Camara Bridge - Panasonic Lumix FZ300,12,31
35,Camara de vigilancia IP - TP-Link Tapo C320WS,13,38
36,Placa induccion - Balay 3EB967FRE,4,5
37,TV LG OLED65G36LA,1,27
38,Aspirador escoba - Dyson v15 Detect,5,16
39,Afeitadora - Braun Series 9 PRO+,6,9
40,Apple Watch Series 9 (2023),8,3
41,Patinete electrico - Xiaomi Electric Scooter 4 ultra,9,41
42,Altavoz de gran potencia - Vieta Pro Party 2,11,39
43,Auriculares gaming - Razer Barracuda X,10,33
44,Movil - Samsung Galaxy S23 Ultra 5G 512GB 12GB RAM,3,34
45,Portatil - VivoBook 15 F1500EA,2,4
46,Nintendo Switch OLED 7 pulgadas Joy-Con 64 GB,7,30
47,Mini Drone - MINI 3 PRO (DJI RC),12,15
48,Echo Show 5 (3.Aa generacion),13,2
49,Lavadora carga frontal - Bosch WGG254Z1ES,4,8
50,LG TV LED 55 - 55NANO756QC UHD 4K,1,27
51,Freidora de aire - Moulinex Easy Fry & Grill XXL EZ801D,5,28
52,Depiladora IPL - Philips Lumea S7000 BRI923/00,6,32
53,Smartwatch - Samsung Watch 4 BT,8,34
54,Patinete electrico - Navee V40,9,29
55,AirPods Pro (2023 2a gen),11,3
56,Reproductor multimedia - Chromecast con Google TV (4K),10,18
57,Aspiradora con Bolsa Rowenta Compact Power,5,44
58,Lavavajillas BALAY 3VS506BP ,4,5
59,Frigorifico combi - RB372N4ACE HISENSE20
60,Placa de vitroceramica - 3EB764EN Balay,4,5
61,Placa Flex de Induccion AEG ILB63445FB,4,1
62,Lavadora LG Autodosificacion F4WV3509S3W,4,27
63,Frigorifico Combi BALAY 3KFE561WI,4,5
64,Campana BALAY 3BC693MX,4,5
65,Lavadora HOOVER H3TM38TACE/1-37,4,21
66,Campana extraible - Teka TL 6310,4,37
67,Lavadora LG F4WV3010S3W,4,27
68,TV Neo QLED 50 pulgadas - Samsung TQ50QN90CATXXC,1,34
69,Frigorifico Combi LG GBB72NSUCN1,4,27
70,Frigorifico Combi LG GBP62PZNBC DoorCooling,4,27
71,Lavadora BEKO WTE 7611 BWR,4,7
72,Lavasecadora INDESIT BDE 96435 9WB SPT,4,23
73,Lavavajillas TEKA DFS 24610 WH,4,37
74,Frigorifico Combi TEKA NFL 320,4,37
75,Frigorifico combi - Haier 3D 60 Series 3 A3FE737CGJ,4,45
76,Microondas LG MH6535GIB,5,27
77,Lavavajillas integrable - Bosch SMV2ITX18E,4,8
78,Placa de Vitroceramica TEKA TZ 6315,4,37
79,Candy CCT3L517FW Frigorifico Combi,4,10
80,Lavadora BALAY 3TS993BT,4,5
81,Cocina KUNFT KGS4503 IX NAT,4,25
82,Horno BALAY 3HB4131X2,5,5
83,Lavadora secadora - CANDY CSOW4965TWE1S,4,10
84,Microondas Integrable BALAY 3CG6142X3,5,5
85,Campana TEKA DBB 60,4,37
86,Frigorifico 2 puertas TEKA RTF 13610,4,37
88,Microondas integrable - MIC211EX CANDY,5,10
89,Placa de gas - Balay 3ETG663HN NAT,4,5
90,Campana - Bosch DWB96BC50,4,8
91,Lavadora HISENSE WFVB7012EM,4,20
92,Frigorifico Combi BALAY Cristal 3KFC869NI,4,5
93,Cafetera DELONGHI ETAM29.510.B,5,14
94,Lavadora carga frontal - WMT 10710 WH TEKA,4,37
95,Campana decorativa - Hisense CH6IN6BXBG,4,20
96,Lavavajillas Integrable TEKA DFI 44700 WH,4,37
97,Termo Electrico CATA CTRH 80 M (80 L - bar),4,12
98,Placa vitroceramica - Balay 3EB715LR,4,5
99,Frigorifico Combi CANDY CCE4T618EW E,4,10
100,Frigorifico combi - Balay 3KFE763WI,4,5
101,Frigorifico Combi BALAY Cristal 3KFD765NI,4,5
102,Horno - Bosch HBA512ES0,4,8
103,TV LED 65 pulgadas - LG 65NANO766QA,1,27
104,Frigorifico combi - Bosch KGN39VIEA,4,8
