Product ID,N_Extracción,Fecha,Precio
30,Extracción 0,'2023/05/15 04:22:51','150.00'
30,Extracción 1,'2023/05/15 04:22:51','150.00'
30,Extracción 2,'2023/05/15 22:34:51','150.00'
30,Extracción 3,'2023/05/16 06:58:51','150.00'
30,Extracción 4,'2023/05/17 01:20:20','127.50'
30,Extracción 5,'2023/05/17 09:44:20','127.50'
30,Extracción 6,'2023/05/17 19:32:20','127.50'
30,Extracción 7,'2023/05/18 12:51:15','150.00'
30,Extracción 8,'2023/05/18 22:39:15','150.00'
30,Extracción 9,'2023/05/19 07:03:15','150.00'
30,Extracción 10,'2023/05/20 01:15:15','150.00'
30,Extracción 11,'2023/05/20 09:39:15','150.00'
30,Extracción 12,'2023/05/20 19:27:15','150.00'
30,Extracción 13,'2023/05/21 13:39:15','150.00'
30,Extracción 14,'2023/05/21 22:03:15','150.00'
30,Extracción 15,'2023/05/22 07:51:15','150.00'
30,Extracción 16,'2023/05/23 02:03:15','150.00'
30,Extracción 17,'2023/05/23 10:27:15','150.00'
30,Extracción 18,'2023/05/23 18:51:15','150.00'
30,Extracción 19,'2023/05/24 13:03:15','150.00'
30,Extracción 20,'2023/05/24 13:03:15','150.00'
30,Extracción 21,'2023/05/25 07:15:15','150.00'
30,Extracción 22,'2023/05/25 17:03:15','150.00'
30,Extracción 23,'2023/05/26 01:27:15','150.00'
30,Extracción 24,'2023/05/26 19:39:15','150.00'
30,Extracción 25,'2023/05/27 04:03:15','150.00'
30,Extracción 26,'2023/05/27 13:51:15','150.00'
30,Extracción 27,'2023/05/28 08:03:15','150.00'
30,Extracción 28,'2023/05/28 16:27:15','150.00'
30,Extracción 29,'2023/05/29 00:41:55','123.97'
30,Extracción 30,'2023/05/29 18:53:55','123.97'
30,Extracción 31,'2023/05/30 04:41:55','123.97'
30,Extracción 32,'2023/05/30 13:30:46','150.00'
30,Extracción 33,'2023/05/31 07:51:28','139.00'
30,Extracción 34,'2023/05/31 16:15:28','139.00'
30,Extracción 35,'2023/06/01 02:03:28','139.00'
30,Extracción 36,'2023/06/01 18:51:28','139.00'
30,Extracción 37,'2023/06/02 04:39:28','139.00'
30,Extracción 38,'2023/06/02 13:03:28','139.00'
30,Extracción 39,'2023/06/03 07:15:28','139.00'
30,Extracción 40,'2023/06/03 07:15:28','139.00'
30,Extracción 41,'2023/06/04 01:27:28','139.00'
30,Extracción 42,'2023/06/04 09:51:28','139.00'
30,Extracción 43,'2023/06/04 19:39:28','139.00'
30,Extracción 44,'2023/06/05 13:51:28','139.00'
30,Extracción 45,'2023/06/05 22:15:28','139.00'
30,Extracción 46,'2023/06/06 08:03:28','139.00'
30,Extracción 47,'2023/06/07 00:51:28','139.00'
30,Extracción 48,'2023/06/07 10:39:28','139.00'
30,Extracción 49,'2023/06/07 19:03:28','139.00'
30,Extracción 50,'2023/06/08 13:15:28','139.00'
30,Extracción 51,'2023/06/08 23:03:28','139.00'
30,Extracción 52,'2023/06/09 07:27:28','139.00'
30,Extracción 53,'2023/06/10 01:39:28','139.00'
30,Extracción 54,'2023/06/10 10:03:28','139.00'
30,Extracción 55,'2023/06/10 19:51:28','139.00'
30,Extracción 56,'2023/06/11 14:03:28','139.00'
30,Extracción 57,'2023/06/11 22:27:28','139.00'
30,Extracción 58,'2023/06/12 06:51:28','139.00'
30,Extracción 59,'2023/06/13 01:03:28','139.00'
30,Extracción 60,'2023/06/13 01:03:28','139.00'
30,Extracción 61,'2023/06/13 19:15:28','139.00'
30,Extracción 62,'2023/06/14 05:03:28','139.00'
30,Extracción 63,'2023/06/14 13:27:28','139.00'
30,Extracción 64,'2023/06/15 07:05:09','129.00'
30,Extracción 65,'2023/06/15 16:53:09','129.00'
30,Extracción 66,'2023/06/16 01:17:09','129.00'
30,Extracción 67,'2023/06/16 19:29:09','129.00'
30,Extracción 68,'2023/06/17 03:53:09','129.00'
30,Extracción 69,'2023/06/17 13:41:09','129.00'
30,Extracción 70,'2023/06/18 07:53:09','129.00'
30,Extracción 71,'2023/06/18 16:17:09','129.00'
30,Extracción 72,'2023/06/19 02:05:09','129.00'
30,Extracción 73,'2023/06/19 18:53:09','129.00'
30,Extracción 74,'2023/06/20 04:41:09','129.00'
30,Extracción 75,'2023/06/20 13:05:09','129.00'
30,Extracción 76,'2023/06/21 07:17:09','129.00'
30,Extracción 77,'2023/06/21 17:05:09','129.00'
30,Extracción 78,'2023/06/22 01:29:09','129.00'
30,Extracción 79,'2023/06/22 19:41:09','129.00'
30,Extracción 80,'2023/06/22 19:41:09','129.00'
30,Extracción 81,'2023/06/23 13:53:09','129.00'
30,Extracción 82,'2023/06/23 22:17:09','129.00'
30,Extracción 83,'2023/06/24 08:05:09','129.00'
30,Extracción 84,'2023/06/25 00:53:09','129.00'
30,Extracción 85,'2023/06/25 10:41:09','129.00'
30,Extracción 86,'2023/06/25 19:05:09','129.00'
30,Extracción 87,'2023/06/26 13:17:09','129.00'
30,Extracción 88,'2023/06/26 23:05:09','129.00'
30,Extracción 89,'2023/06/27 07:29:09','129.00'
30,Extracción 90,'2023/06/28 01:41:09','129.00'
30,Extracción 91,'2023/06/28 10:05:09','129.00'
30,Extracción 92,'2023/06/28 19:53:09','129.00'
30,Extracción 93,'2023/06/29 14:05:09','129.00'
30,Extracción 94,'2023/06/29 22:29:09','129.00'
30,Extracción 95,'2023/06/30 06:53:09','129.00'
30,Extracción 96,'2023/07/01 01:47:29','139.00'
30,Extracción 97,'2023/07/01 10:11:29','139.00'
30,Extracción 98,'2023/07/01 19:59:29','139.00'
30,Extracción 99,'2023/07/02 14:11:29','139.00'
30,Extracción 100,'2023/07/02 14:11:29','139.00'
30,Extracción 101,'2023/07/03 06:59:29','139.00'
