N_Extracción,Product ID,Fecha,Precio
Extracción 0,77,2023-05-07, '589.99'
Extracción 1,77,2023-05-07, '589.99'
Extracción 2,77,2023-05-08, '589.99'
Extracción 3,77,2023-05-08, '589.99'
Extracción 4,77,2023-05-09, '589.99'
Extracción 5,77,2023-05-09, '589.99'
Extracción 6,77,2023-05-10, '589.99'
Extracción 7,77,2023-05-10, '589.99'
Extracción 8,77,2023-05-11, '589.99'
Extracción 9,77,2023-05-11, '589.99'
Extracción 10,77,2023-05-12, '589.99'
Extracción 11,77,2023-05-12, '589.99'
Extracción 12,77,2023-05-13, '589.99'
Extracción 13,77,2023-05-13, '589.99'
Extracción 14,77,2023-05-14, '589.99'
Extracción 15,77,2023-05-14, '589.99'
Extracción 16,77,2023-05-15, '589.99'
Extracción 17,77,2023-05-15, '589.99'
Extracción 18,77,2023-05-16, '589.99'
Extracción 19,77,2023-05-16, '589.99'
Extracción 20,77,2023-05-17, '589.99'
Extracción 21,77,2023-05-17, '589.99'
Extracción 22,77,2023-05-18, '589.99'
Extracción 23,77,2023-05-18, '589.99'
Extracción 24,77,2023-05-19, '589.99'
Extracción 25,77,2023-05-19, '589.99'
Extracción 26,77,2023-05-20, '589.99'
Extracción 27,77,2023-05-20, '589.99'
Extracción 28,77,2023-05-21, '589.99'
Extracción 29,77,2023-05-21, '589.99'
Extracción 30,77,2023-05-22, '589.99'
Extracción 31,77,2023-05-22, '589.99'
Extracción 32,77,2023-05-23, '589.99'
Extracción 33,77,2023-05-23, '589.99'
Extracción 34,77,2023-05-24, '589.99'
Extracción 35,77,2023-05-24, '589.99'
Extracción 36,77,2023-05-25, '589.99'
Extracción 37,77,2023-05-25, '589.99'
Extracción 38,77,2023-05-26, '589.99'
Extracción 39,77,2023-05-26, '589.99'
Extracción 40,77,2023-05-27, '589.99'
Extracción 41,77,2023-05-27, '589.99'
Extracción 42,77,2023-05-28, '589.99'
Extracción 43,77,2023-05-28, '589.99'
Extracción 44,77,2023-05-29, '589.99'
Extracción 45,77,2023-05-29, '589.99'
Extracción 46,77,2023-05-30, '589.99'
Extracción 47,77,2023-05-30, '589.99'
Extracción 48,77,2023-05-31, '589.99'
Extracción 49,77,2023-05-31, '589.99'
Extracción 50,77,2023-06-01, '589.99'
Extracción 51,77,2023-06-01, '589.99'
Extracción 52,77,2023-06-02, '589.99'
Extracción 53,77,2023-06-02, '589.99'
Extracción 54,77,2023-06-03, '589.99'
Extracción 55,77,2023-06-03, '589.99'
Extracción 56,77,2023-06-04, '589.99'
Extracción 57,77,2023-06-04, '589.99'
Extracción 58,77,2023-06-05, '589.99'
Extracción 59,77,2023-06-05, '589.99'
Extracción 60,77,2023-06-06, '589.99'
Extracción 61,77,2023-06-06, '589.99'
Extracción 62,77,2023-06-07, '589.99'
Extracción 63,77,2023-06-07, '589.99'
Extracción 64,77,2023-06-08, '589.99'
Extracción 65,77,2023-06-08, '589.99'
Extracción 66,77,2023-06-09, '589.99'
Extracción 67,77,2023-06-09, '589.99'
Extracción 68,77,2023-06-10, '589.99'
Extracción 69,77,2023-06-10, '589.99'
Extracción 70,77,2023-06-11, '589.99'
Extracción 71,77,2023-06-11, '589.99'
Extracción 72,77,2023-06-12, '589.99'
Extracción 73,77,2023-06-12, '589.99'
Extracción 74,77,2023-06-13, '589.99'
Extracción 75,77,2023-06-13, '589.99'
Extracción 76,77,2023-06-14, '589.99'
Extracción 77,77,2023-06-14, '589.99'
Extracción 78,77,2023-06-15, '589.99'
Extracción 79,77,2023-06-15, '589.99'
Extracción 80,77,2023-06-16, '589.99'
Extracción 81,77,2023-06-16, '589.99'
Extracción 82,77,2023-06-17, '589.99'
Extracción 83,77,2023-06-17, '589.99'
Extracción 84,77,2023-06-18, '589.99'
Extracción 85,77,2023-06-18, '589.99'
Extracción 86,77,2023-06-19, '589.99'
Extracción 87,77,2023-06-19, '589.99'
Extracción 88,77,2023-06-20, '589.99'
Extracción 89,77,2023-06-20, '589.99'
Extracción 90,77,2023-06-21, '589.99'
Extracción 91,77,2023-06-21, '589.99'
Extracción 92,77,2023-06-22, '589.99'
Extracción 93,77,2023-06-22, '589.99'
Extracción 94,77,2023-06-23, '589.99'
Extracción 95,77,2023-06-23, '589.99'
Extracción 96,77,2023-06-24, '589.99'
Extracción 97,77,2023-06-24, '589.99'
Extracción 98,77,2023-06-25, '589.99'
Extracción 99,77,2023-06-25, '589.99'
Extracción 100,77,2023-06-26, '589.99'
Extracción 101,77,2023-06-26, '589.99'
Extracción 102,77,2023-06-27, '589.99'
Extracción 103,77,2023-06-27, '589.99'
Extracción 104,77,2023-06-28, '589.99'
Extracción 105,77,2023-06-28, '589.99'
Extracción 106,77,2023-06-29, '589.99'
Extracción 107,77,2023-06-29, '589.99'
Extracción 108,77,2023-06-30, '589.99'
Extracción 109,77,2023-06-30, '589.99'
Extracción 110,77,2023-07-01, '589.99'
Extracción 111,77,2023-07-01, '589.99'
Extracción 112,77,2023-07-02, '589.99'
Extracción 113,77,2023-07-02, '589.99'
Extracción 114,77,2023-07-03, '589.99'
Extracción 115,77,2023-07-03, '589.99'
Extracción 116,77,2023-07-04, '589.99'
Extracción 117,77,2023-07-04, '589.99'
Extracción 118,77,2023-07-05, '589.99'
Extracción 119,77,2023-07-05, '589.99'
Extracción 120,77,2023-07-06, '589.99'
Extracción 121,77,2023-07-06, '589.99'
Extracción 122,77,2023-07-07, '589.99'
Extracción 123,77,2023-07-07, '589.99'
Extracción 124,77,2023-07-08, '589.99'
Extracción 125,77,2023-07-08, '589.99'
Extracción 126,77,2023-07-09, '589.99'
Extracción 127,77,2023-07-09, '589.99'
Extracción 128,77,2023-07-10, '589.99'
Extracción 129,77,2023-07-10, '589.99'
Extracción 130,77,2023-07-11, '589.99'
Extracción 131,77,2023-07-11, '589.99'
Extracción 132,77,2023-07-12, '589.99'
Extracción 133,77,2023-07-12, '589.99'
Extracción 134,77,2023-07-13, '589.99'
Extracción 135,77,2023-07-13, '589.99'
Extracción 136,77,2023-07-14, '589.99'
Extracción 137,77,2023-07-14, '589.99'
Extracción 138,77,2023-07-15, '589.99'
Extracción 139,77,2023-07-15, '589.99'
Extracción 140,77,2023-07-16, '589.99'
Extracción 141,77,2023-07-16, '589.99'
Extracción 142,77,2023-07-17, '589.99'
Extracción 143,77,2023-07-17, '589.99'
Extracción 144,77,2023-07-18, '589.99'
Extracción 145,77,2023-07-18, '589.99'
Extracción 146,77,2023-07-19, '589.99'
Extracción 147,77,2023-07-19, '589.99'
Extracción 148,77,2023-07-20, '589.99'
Extracción 149,77,2023-07-20, '589.99'
Extracción 150,77,2023-07-21, '589.99'
Extracción 151,77,2023-07-21, '589.99'
Extracción 152,77,2023-07-22, '589.99'
Extracción 153,77,2023-07-22, '589.99'
Extracción 154,77,2023-07-23, '589.99'
Extracción 155,77,2023-07-23, '589.99'
Extracción 156,77,2023-07-24, '589.99'
Extracción 157,77,2023-07-24, '589.99'
Extracción 158,77,2023-07-25, '589.99'
Extracción 159,77,2023-07-25, '589.99'
Extracción 160,77,2023-07-26, '589.99'
Extracción 161,77,2023-07-26, '589.99'
Extracción 162,77,2023-07-27, '589.99'
Extracción 163,77,2023-07-27, '589.99'
Extracción 164,77,2023-07-28, '589.99'
Extracción 165,77,2023-07-28, '589.99'
Extracción 166,77,2023-07-29, '589.99'
Extracción 167,77,2023-07-29, '589.99'
Extracción 168,77,2023-07-30, '589.99'
Extracción 169,77,2023-07-30, '589.99'
Extracción 170,77,2023-07-31, '589.99'
Extracción 171,77,2023-07-31, '589.99'
Extracción 172,77,2023-08-01, '589.99'
Extracción 173,77,2023-08-01, '589.99'
Extracción 174,77,2023-08-02, '589.99'
Extracción 175,77,2023-08-02, '589.99'
Extracción 176,77,2023-08-03, '589.99'
Extracción 177,77,2023-08-03, '589.99'
Extracción 178,77,2023-08-04, '589.99'
Extracción 179,77,2023-08-04, '589.99'
Extracción 180,77,2023-08-05, '589.99'
Extracción 181,77,2023-08-05, '589.99'
Extracción 182,77,2023-08-06, '589.99'
Extracción 183,77,2023-08-06, '589.99'
Extracción 184,77,2023-08-07, '589.99'
Extracción 185,77,2023-08-07, '589.99'
Extracción 186,77,2023-08-08, '589.99'
Extracción 187,77,2023-08-08, '589.99'
Extracción 188,77,2023-08-09, '589.99'
Extracción 189,77,2023-08-09, '589.99'
Extracción 190,77,2023-08-10, '589.99'
Extracción 191,77,2023-08-10, '589.99'
Extracción 192,77,2023-08-11, '589.99'
Extracción 193,77,2023-08-11, '589.99'
Extracción 194,77,2023-08-12, '589.99'
Extracción 195,77,2023-08-12, '589.99'
Extracción 196,77,2023-08-13, '589.99'
Extracción 197,77,2023-08-13, '589.99'
Extracción 198,77,2023-08-14, '589.99'
Extracción 199,77,2023-08-14, '589.99'
Extracción 200,77,2023-08-15, '589.99'
Extracción 201,77,2023-08-15, 0
Extracción 202,77,2023-08-16, 0
Extracción 203,77,2023-08-16, 0
Extracción 204,77,2023-08-17, 0
Extracción 205,77,2023-08-17, 0
Extracción 206,77,2023-08-18, 0
Extracción 207,77,2023-08-18, 0
Extracción 208,77,2023-08-19, 0
Extracción 209,77,2023-08-19, 0
Extracción 210,77,2023-08-20, 0
Extracción 211,77,2023-08-20, 0
Extracción 212,77,2023-08-21, 0
Extracción 213,77,2023-08-21, 0
Extracción 214,77,2023-08-22, 0
Extracción 215,77,2023-08-22, 0
Extracción 216,77,2023-08-23, 0
Extracción 217,77,2023-08-23, 0
Extracción 218,77,2023-08-24, 0
Extracción 219,77,2023-08-24, 0
Extracción 220,77,2023-08-25, 0
Extracción 221,77,2023-08-25, 0
Extracción 222,77,2023-08-26, 0
Extracción 223,77,2023-08-26, 0
Extracción 224,77,2023-08-27, 0
Extracción 225,77,2023-08-27, 0
Extracción 226,77,2023-08-28, 0
Extracción 227,77,2023-08-28, 0
Extracción 228,77,2023-08-29, 0
Extracción 229,77,2023-08-29, 0
Extracción 230,77,2023-08-30, 0
Extracción 231,77,2023-08-30, 0
Extracción 232,77,2023-08-31, 0
Extracción 233,77,2023-08-31, 0
Extracción 234,77,2023-09-01, 0
Extracción 235,77,2023-09-01, 0
Extracción 236,77,2023-09-02, 0
Extracción 237,77,2023-09-02, 0
Extracción 238,77,2023-09-03, 0
Extracción 239,77,2023-09-03, 0
Extracción 240,77,2023-09-04, 0
Extracción 241,77,2023-09-04, 0
Extracción 242,77,2023-09-05, 0
Extracción 243,77,2023-09-05, 0
Extracción 244,77,2023-09-06, 0
Extracción 245,77,2023-09-06, 0
Extracción 246,77,2023-09-07, 0
Extracción 247,77,2023-09-07, 0
Extracción 248,77,2023-09-08, 0
Extracción 249,77,2023-09-08, 0
Extracción 250,77,2023-09-09, 0
Extracción 251,77,2023-09-09, 0
Extracción 252,77,2023-09-10, 0
Extracción 253,77,2023-09-10, 0
Extracción 254,77,2023-09-11, 0
Extracción 255,77,2023-09-11, 0
Extracción 256,77,2023-09-12, 0
Extracción 257,77,2023-09-12, 0
Extracción 258,77,2023-09-13, 0
Extracción 259,77,2023-09-13, 0
Extracción 260,77,2023-09-14, 0
Extracción 261,77,2023-09-14, 0
Extracción 262,77,2023-09-15, 0
Extracción 263,77,2023-09-15, 0
Extracción 264,77,2023-09-16, 0
Extracción 265,77,2023-09-16, 0
Extracción 266,77,2023-09-17, 0
Extracción 267,77,2023-09-17, 0
Extracción 268,77,2023-09-18, 0
Extracción 269,77,2023-09-18, 0
Extracción 270,77,2023-09-19, 0
Extracción 271,77,2023-09-19, 0
Extracción 272,77,2023-09-20, 0
Extracción 273,77,2023-09-20, 0
Extracción 274,77,2023-09-21, 0
Extracción 275,77,2023-09-21, 0
Extracción 276,77,2023-09-22, 0
Extracción 277,77,2023-09-22, 0
Extracción 278,77,2023-09-23, 0
Extracción 279,77,2023-09-23, 0
Extracción 280,77,2023-09-24, 0
Extracción 281,77,2023-09-24, 0
Extracción 282,77,2023-09-25, 0
Extracción 283,77,2023-09-25, 0
Extracción 284,77,2023-09-26, 0
Extracción 285,77,2023-09-26, 0
Extracción 286,77,2023-09-27, 0
Extracción 287,77,2023-09-27, 0
Extracción 288,77,2023-09-28, 0
Extracción 289,77,2023-09-28, 0
Extracción 290,77,2023-09-29, 0
Extracción 291,77,2023-09-29, 0
Extracción 292,77,2023-09-30, 0
Extracción 293,77,2023-09-30, 0
Extracción 294,77,2023-10-01, 0
Extracción 295,77,2023-10-01, 0
Extracción 296,77,2023-10-02, 0
Extracción 297,77,2023-10-02, 0
Extracción 298,77,2023-10-03, 0
Extracción 299,77,2023-10-03, 0
Extracción 300,77,2023-10-04, 0
Extracción 301,77,2023-10-04, 0
Extracción 302,77,2023-10-05, '589.99'
Extracción 303,77,2023-10-05, '589.99'
Extracción 304,77,2023-10-06, '589.99'
Extracción 305,77,2023-10-06, '589.99'
Extracción 306,77,2023-10-07, '589.99'
Extracción 307,77,2023-10-07, '589.99'
Extracción 308,77,2023-10-08, '589.99'
Extracción 309,77,2023-10-08, '589.99'
Extracción 310,77,2023-10-09, '589.99'
Extracción 311,77,2023-10-09, 0
Extracción 312,77,2023-10-10, 0
Extracción 313,77,2023-10-10, 0
Extracción 314,77,2023-10-11, 0
Extracción 315,77,2023-10-11, 0
Extracción 316,77,2023-10-12, 0
Extracción 317,77,2023-10-12, 0
Extracción 318,77,2023-10-13, 0
Extracción 319,77,2023-10-13, 0
Extracción 320,77,2023-10-14, 0
Extracción 321,77,2023-10-14, 0
Extracción 322,77,2023-10-15, 0
Extracción 323,77,2023-10-15, 0
Extracción 324,77,2023-10-16, 0
Extracción 325,77,2023-10-16, 0
Extracción 326,77,2023-10-17, 0
Extracción 327,77,2023-10-17, 0
Extracción 328,77,2023-10-18, 0
Extracción 329,77,2023-10-18, 0
Extracción 330,77,2023-10-19, 0
Extracción 331,77,2023-10-19, 0
Extracción 332,77,2023-10-20, 0
Extracción 333,77,2023-10-20, 0
Extracción 334,77,2023-10-21, 0
Extracción 335,77,2023-10-21, 0
Extracción 336,77,2023-10-22, 0
Extracción 337,77,2023-10-22, 0
Extracción 338,77,2023-10-23, 0
Extracción 339,77,2023-10-23, 0
Extracción 340,77,2023-10-24, 0
Extracción 341,77,2023-10-24, 0
Extracción 342,77,2023-10-25, 0
Extracción 343,77,2023-10-25, 0
Extracción 344,77,2023-10-26, 0
Extracción 345,77,2023-10-26, 0
Extracción 346,77,2023-10-27, 0
Extracción 347,77,2023-10-27, 0
Extracción 348,77,2023-10-28, 0
Extracción 349,77,2023-10-28, 0
Extracción 350,77,2023-10-29, 0
Extracción 351,77,2023-10-29, 0
Extracción 352,77,2023-10-30, 0
Extracción 353,77,2023-10-30, 0
Extracción 354,77,2023-10-31, 0
Extracción 355,77,2023-10-31, 0
Extracción 356,77,2023-11-01, 0
Extracción 357,77,2023-11-01, 0
Extracción 358,77,2023-11-02, 0
Extracción 359,77,2023-11-02, 0
Extracción 360,77,2023-11-03, 0
Extracción 361,77,2023-11-03, 0
Extracción 362,77,2023-11-04, 0
Extracción 363,77,2023-11-04, 0
Extracción 364,77,2023-11-05, 0
Extracción 365,77,2023-11-05, 0
Extracción 366,77,2023-11-06, 0
Extracción 367,77,2023-11-06, 0
Extracción 368,77,2023-11-07, 0
Extracción 369,77,2023-11-07, 0
