N_Extracción,Product ID,Fecha,Precio
Extracción 0,28,2023-05-07, '5990'
Extracción 1,28,2023-05-07, '5990'
Extracción 2,28,2023-05-08, '5990'
Extracción 3,28,2023-05-08, '59.00'
Extracción 4,28,2023-05-09, '59.00'
Extracción 5,28,2023-05-09, '59.00'
Extracción 6,28,2023-05-10, '59.00'
Extracción 7,28,2023-05-10, '59.00'
Extracción 8,28,2023-05-11, '59.00'
Extracción 9,28,2023-05-11, '59.00'
Extracción 10,28,2023-05-12, '59.00'
Extracción 11,28,2023-05-12, '59.00'
Extracción 12,28,2023-05-13, '59.00'
Extracción 13,28,2023-05-13, '59.00'
Extracción 14,28,2023-05-14, 0
Extracción 15,28,2023-05-14, '52.69'
Extracción 16,28,2023-05-15, '52.69'
Extracción 17,28,2023-05-15, '52.69'
Extracción 18,28,2023-05-16, '62.99'
Extracción 19,28,2023-05-16, '63.99'
Extracción 20,28,2023-05-17, 0
Extracción 21,28,2023-05-17, '63.99'
Extracción 22,28,2023-05-18, '69.99'
Extracción 23,28,2023-05-18, '69.99'
Extracción 24,28,2023-05-19, '69.99'
Extracción 25,28,2023-05-19, '69.99'
Extracción 26,28,2023-05-20, '69.99'
Extracción 27,28,2023-05-20, '69.99'
Extracción 28,28,2023-05-21, '69.99'
Extracción 29,28,2023-05-21, '69.99'
Extracción 30,28,2023-05-22, '69.99'
Extracción 31,28,2023-05-22, 0
Extracción 32,28,2023-05-23, 0
Extracción 33,28,2023-05-23, '68.99'
Extracción 34,28,2023-05-24, '68.99'
Extracción 35,28,2023-05-24, '59.00'
Extracción 36,28,2023-05-25, '59.00'
Extracción 37,28,2023-05-25, '59.00'
Extracción 38,28,2023-05-26, '59.00'
Extracción 39,28,2023-05-26, '59.00'
Extracción 40,28,2023-05-27, '59.00'
Extracción 41,28,2023-05-27, '59.00'
Extracción 42,28,2023-05-28, 0
Extracción 43,28,2023-05-28, '59.00'
Extracción 44,28,2023-05-29, '59.00'
Extracción 45,28,2023-05-29, '59.00'
Extracción 46,28,2023-05-30, 0
Extracción 47,28,2023-05-30, '59.00'
Extracción 48,28,2023-05-31, '59.00'
Extracción 49,28,2023-05-31, '59.00'
Extracción 50,28,2023-06-01, '5990'
Extracción 51,28,2023-06-01, '5990'
Extracción 52,28,2023-06-02, '5990'
Extracción 53,28,2023-06-02, '5990'
Extracción 54,28,2023-06-03, '5990'
Extracción 55,28,2023-06-03, '5990'
Extracción 56,28,2023-06-04, '5990'
Extracción 57,28,2023-06-04, '5990'
Extracción 58,28,2023-06-05, '5990'
Extracción 59,28,2023-06-05, '5990'
Extracción 60,28,2023-06-06, '68.99'
Extracción 61,28,2023-06-06, '6099'
Extracción 62,28,2023-06-07, '69.99'
Extracción 63,28,2023-06-07, '69.99'
Extracción 64,28,2023-06-08, '68.99'
Extracción 65,28,2023-06-08, '68.99'
Extracción 66,28,2023-06-09, '68.99'
Extracción 67,28,2023-06-09, '68.99'
Extracción 68,28,2023-06-10, '68.99'
Extracción 69,28,2023-06-10, '68.99'
Extracción 70,28,2023-06-11, '5990'
Extracción 71,28,2023-06-11, '5990'
Extracción 72,28,2023-06-12, '5990'
Extracción 73,28,2023-06-12, '5990'
Extracción 74,28,2023-06-13, '5990'
Extracción 75,28,2023-06-13, '5990'
Extracción 76,28,2023-06-14, '5990'
Extracción 77,28,2023-06-14, '5990'
Extracción 78,28,2023-06-15, '5990'
Extracción 79,28,2023-06-15, '69.99'
Extracción 80,28,2023-06-16, '69.99'
Extracción 81,28,2023-06-16, '6799'
Extracción 82,28,2023-06-17, '6799'
Extracción 83,28,2023-06-17, '65.99'
Extracción 84,28,2023-06-18, 0
Extracción 85,28,2023-06-18, '65.99'
Extracción 86,28,2023-06-19, '65.99'
Extracción 87,28,2023-06-19, '65.99'
Extracción 88,28,2023-06-20, '65.99'
Extracción 89,28,2023-06-20, 0
Extracción 90,28,2023-06-21, 0
Extracción 91,28,2023-06-21, '65.99'
Extracción 92,28,2023-06-22, '6799'
Extracción 93,28,2023-06-22, '6799'
Extracción 94,28,2023-06-23, '6799'
Extracción 95,28,2023-06-23, '6799'
