N_Extracción,Product ID,Fecha,Precio
Extracción 0,52,2023-05-07, 0
Extracción 1,52,2023-05-07, 0
Extracción 2,52,2023-05-08, 0
Extracción 3,52,2023-05-10, 0
Extracción 4,52,2023-05-10, 0
Extracción 5,52,2023-05-11, 0
Extracción 6,52,2023-05-13, 0
Extracción 7,52,2023-05-13, 0
Extracción 8,52,2023-05-14, '229.00'
Extracción 9,52,2023-05-16, '229.00'
Extracción 10,52,2023-05-16, 0
Extracción 11,52,2023-05-17, '229.00'
Extracción 12,52,2023-05-19, 0
Extracción 13,52,2023-05-19, 0
Extracción 14,52,2023-05-20, '23715'
Extracción 15,52,2023-05-22, '23715'
Extracción 16,52,2023-05-22, '279.00'
Extracción 17,52,2023-05-23, '309.00'
Extracción 18,52,2023-05-25, '309.00'
Extracción 19,52,2023-05-25, '309.00'
Extracción 20,52,2023-05-26, '309.00'
Extracción 21,52,2023-05-28, '309.00'
Extracción 22,52,2023-05-28, '263.00'
Extracción 23,52,2023-05-29, '279.00'
Extracción 24,52,2023-05-31, '279.00'
Extracción 25,52,2023-05-31, '279.00'
Extracción 26,52,2023-06-01, '329'
Extracción 27,52,2023-06-03, '279.00'
Extracción 28,52,2023-06-03, '337.00'
Extracción 29,52,2023-06-04, '337.00'
Extracción 30,52,2023-06-06, '337.00'
Extracción 31,52,2023-06-06, '27851'
Extracción 32,52,2023-06-07, '258.68'
Extracción 33,52,2023-06-09, '337.00'
Extracción 34,52,2023-06-09, 0
Extracción 35,52,2023-06-10, 0
Extracción 36,52,2023-06-12, 0
Extracción 37,52,2023-06-12, '269.00'
Extracción 38,52,2023-06-13, '269.00'
Extracción 39,52,2023-06-15, '269.00'
Extracción 40,52,2023-06-15, '269.00'
Extracción 41,52,2023-06-16, '269.00'
Extracción 42,52,2023-06-18, 0
Extracción 43,52,2023-06-18, 0
Extracción 44,52,2023-06-19, '269.00'
Extracción 45,52,2023-06-21, 0
Extracción 46,52,2023-06-21, 0
Extracción 47,52,2023-06-22, 0
Extracción 48,52,2023-06-24, '269.00'
Extracción 49,52,2023-06-24, 0
Extracción 50,52,2023-06-25, 0
Extracción 51,52,2023-06-27, '279.00'
Extracción 52,52,2023-06-27, '279.00'
Extracción 53,52,2023-06-28, '279.00'
Extracción 54,52,2023-06-30, '279.00'
Extracción 55,52,2023-06-30, '279.00'
Extracción 56,52,2023-07-01, '279.00'
Extracción 57,52,2023-07-03, '279.00'
Extracción 58,52,2023-07-03, '279.00'
Extracción 59,52,2023-07-04, '279.00'
Extracción 60,52,2023-07-06, '279.00'
Extracción 61,52,2023-07-06, '255.00'
Extracción 62,52,2023-07-07, '255.00'
Extracción 63,52,2023-07-09, '255.00'
Extracción 64,52,2023-07-09, '255.00'
Extracción 65,52,2023-07-10, '255.00'
Extracción 66,52,2023-07-12, '255.00'
Extracción 67,52,2023-07-12, '255.00'
Extracción 68,52,2023-07-13, '255.00'
Extracción 69,52,2023-07-15, '255.00'
Extracción 70,52,2023-07-15, '279.00'
Extracción 71,52,2023-07-16, '279.00'
Extracción 72,52,2023-07-18, '279.00'
Extracción 73,52,2023-07-18, 0
Extracción 74,52,2023-07-19, '249.00'
Extracción 75,52,2023-07-21, 0
Extracción 76,52,2023-07-21, 0
Extracción 77,52,2023-07-22, '269.00'
Extracción 78,52,2023-07-24, '269.00'
Extracción 79,52,2023-07-24, '349'
Extracción 80,52,2023-07-25, '349'
Extracción 81,52,2023-07-27, '269.00'
Extracción 82,52,2023-07-27, '269.00'
Extracción 83,52,2023-07-28, '269.00'
Extracción 84,52,2023-07-30, '309.00'
Extracción 85,52,2023-07-30, '309.00'
Extracción 86,52,2023-07-31, '309.00'
Extracción 87,52,2023-08-02, '309.00'
Extracción 88,52,2023-08-02, '309.00'
Extracción 89,52,2023-08-03, '309.00'
Extracción 90,52,2023-08-05, '309.00'
Extracción 91,52,2023-08-05, '309.00'
Extracción 92,52,2023-08-06, '309.00'
Extracción 93,52,2023-08-08, '309.00'
Extracción 94,52,2023-08-08, '309.00'
Extracción 95,52,2023-08-09, '309.00'
Extracción 96,52,2023-08-11, '309.00'
Extracción 97,52,2023-08-11, 0
Extracción 98,52,2023-08-12, '309.00'
Extracción 99,52,2023-08-14, '309.00'
Extracción 100,52,2023-08-14, '309.00'
Extracción 101,52,2023-08-15, 0
Extracción 102,52,2023-08-17, '309.00'
Extracción 103,52,2023-08-17, '309.00'
Extracción 104,52,2023-08-18, 0
Extracción 105,52,2023-08-20, '309.00'
Extracción 106,52,2023-08-20, '309.00'
Extracción 107,52,2023-08-21, '309.00'
Extracción 108,52,2023-08-23, 0
Extracción 109,52,2023-08-23, 0
Extracción 110,52,2023-08-24, 0
Extracción 111,52,2023-08-26, 0
Extracción 112,52,2023-08-26, 0
Extracción 113,52,2023-08-27, '309.00'
Extracción 114,52,2023-08-29, '309.00'
Extracción 115,52,2023-08-29, 0
Extracción 116,52,2023-08-30, '309.00'
Extracción 117,52,2023-09-01, 0
Extracción 118,52,2023-09-01, 0
Extracción 119,52,2023-09-02, '249.00'
Extracción 120,52,2023-09-04, '249.00'
Extracción 121,52,2023-09-04, '249.00'
Extracción 122,52,2023-09-05, '249.00'
Extracción 123,52,2023-09-07, '249.00'
Extracción 124,52,2023-09-07, '249.00'
Extracción 125,52,2023-09-08, '249.00'
Extracción 126,52,2023-09-10, '249.00'
Extracción 127,52,2023-09-10, '349'
Extracción 128,52,2023-09-11, '349'
Extracción 129,52,2023-09-13, '267.00'
Extracción 130,52,2023-09-13, 0
Extracción 131,52,2023-09-14, '267.00'
Extracción 132,52,2023-09-16, '267.00'
Extracción 133,52,2023-09-16, '249.00'
Extracción 134,52,2023-09-17, '249.00'
Extracción 135,52,2023-09-19, '249.00'
Extracción 136,52,2023-09-19, '249.00'
Extracción 137,52,2023-09-20, '249.00'
Extracción 138,52,2023-09-22, '249.00'
Extracción 139,52,2023-09-22, '249.00'
Extracción 140,52,2023-09-23, '249.00'
Extracción 141,52,2023-09-25, '267.00'
Extracción 142,52,2023-09-25, 0
Extracción 143,52,2023-09-26, '249.00'
Extracción 144,52,2023-09-28, '249.00'
Extracción 145,52,2023-09-28, '249.00'
Extracción 146,52,2023-09-29, '268.00'
Extracción 147,52,2023-10-01, '249.00'
Extracción 148,52,2023-10-01, '309.00'
Extracción 149,52,2023-10-02, '309.00'
Extracción 150,52,2023-10-04, '309.00'
Extracción 151,52,2023-10-04, '292.00'
Extracción 152,52,2023-10-05, '299.00'
Extracción 153,52,2023-10-07, 0
Extracción 154,52,2023-10-07, '299.00'
Extracción 155,52,2023-10-08, 0
Extracción 156,52,2023-10-10, '248.63'
Extracción 157,52,2023-10-10, '296.00'
Extracción 158,52,2023-10-11, '268.00'
Extracción 159,52,2023-10-13, '249.00'
Extracción 160,52,2023-10-13, '249.00'
Extracción 161,52,2023-10-14, '249.00'
Extracción 162,52,2023-10-16, '249.00'
Extracción 163,52,2023-10-16, '249.00'
Extracción 164,52,2023-10-17, '249.00'
Extracción 165,52,2023-10-19, '249.00'
Extracción 166,52,2023-10-19, '249.00'
Extracción 167,52,2023-10-20, '249.00'
Extracción 168,52,2023-10-22, '249.00'
Extracción 169,52,2023-10-22, '249.00'
Extracción 170,52,2023-10-23, '309.00'
Extracción 171,52,2023-10-25, 0
Extracción 172,52,2023-10-25, '269.00'
Extracción 173,52,2023-10-26, 0
Extracción 174,52,2023-10-28, '269.00'
Extracción 175,52,2023-10-28, 0
Extracción 176,52,2023-10-29, 0
Extracción 177,52,2023-10-31, 0
Extracción 178,52,2023-10-31, 0
Extracción 179,52,2023-11-01, 0
Extracción 180,52,2023-11-03, 0
Extracción 181,52,2023-11-03, 0
Extracción 182,52,2023-11-04, 0
Extracción 183,52,2023-11-06, '269.00'
Extracción 184,52,2023-11-06, '269.00'
Extracción 185,52,2023-11-07, '249.00'
Extracción 186,52,2023-11-09, '249.00'
Extracción 187,52,2023-11-09, '249.00'
Extracción 188,52,2023-11-10, '249.00'
Extracción 189,52,2023-11-12, '249.00'
Extracción 190,52,2023-11-12, '249.00'
Extracción 191,52,2023-11-13, '249.00'
Extracción 192,52,2023-11-15, '249.00'
Extracción 193,52,2023-11-15, '249.00'
Extracción 194,52,2023-11-16, 0
Extracción 195,52,2023-11-18, '349'
Extracción 196,52,2023-11-18, '269.00'
Extracción 197,52,2023-11-19, '269.00'
Extracción 198,52,2023-11-21, '269.00'
Extracción 199,52,2023-11-21, '269.00'
Extracción 200,52,2023-11-22, '269.00'
Extracción 201,52,2023-11-24, '269.00'
Extracción 202,52,2023-11-24, '269.00'
Extracción 203,52,2023-11-25, '279.00'
Extracción 204,52,2023-11-27, '279.00'
Extracción 205,52,2023-11-27, '279.00'
Extracción 206,52,2023-11-28, '279.00'
Extracción 207,52,2023-11-30, '279.00'
Extracción 208,52,2023-11-30, '279.00'
Extracción 209,52,2023-12-01, '329'
Extracción 210,52,2023-12-03, '293.00'
Extracción 211,52,2023-12-03, '293.00'
Extracción 212,52,2023-12-04, '293.00'
Extracción 213,52,2023-12-06, '242.15'
Extracción 214,52,2023-12-06, 0
Extracción 215,52,2023-12-07, '293.00'
Extracción 216,52,2023-12-09, '279.00'
Extracción 217,52,2023-12-09, '279.00'
Extracción 218,52,2023-12-10, '285.00'
Extracción 219,52,2023-12-12, '285.00'
Extracción 220,52,2023-12-12, '285.00'
Extracción 221,52,2023-12-13, '285.00'
Extracción 222,52,2023-12-15, '285.00'
Extracción 223,52,2023-12-15, '285.00'
Extracción 224,52,2023-12-16, '285.00'
Extracción 225,52,2023-12-18, '309.00'
Extracción 226,52,2023-12-18, 0
Extracción 227,52,2023-12-19, 0
Extracción 228,52,2023-12-21, '259.00'
Extracción 229,52,2023-12-21, 0
Extracción 230,52,2023-12-22, 0
Extracción 231,52,2023-12-24, '259.00'
Extracción 232,52,2023-12-24, '259.00'
Extracción 233,52,2023-12-25, '259.00'
Extracción 234,52,2023-12-27, '259.00'
Extracción 235,52,2023-12-27, '259.00'
Extracción 236,52,2023-12-28, '259.00'
Extracción 237,52,2023-12-30, '259.00'
Extracción 238,52,2023-12-30, '259.00'
Extracción 239,52,2023-12-31, '259.00'
Extracción 240,52,2024-01-02, '259.00'
Extracción 241,52,2024-01-02, '259.00'
Extracción 242,52,2024-01-03, '259.00'
Extracción 243,52,2024-01-05, '349'
Extracción 244,52,2024-01-05, '25537'
Extracción 245,52,2024-01-06, '25537'
Extracción 246,52,2024-01-08, '25537'
Extracción 247,52,2024-01-08, '309.00'
Extracción 248,52,2024-01-09, '239.00'
Extracción 249,52,2024-01-11, '239.00'
Extracción 250,52,2024-01-11, '239.00'
Extracción 251,52,2024-01-12, 0
Extracción 252,52,2023-05-07, 0
